All_cells_staining,All_dissected_cells
46.64109,46.44209
47.08216,76.02128
44.89108,62.71393
45.95284,52.43018
49.08807,52.9978
55.94284,44.62451
45.31116,54.56037
48.75359,57.54734
53.58397,57.15884
81.01893,40.30699
56.35696,42.68496
89.50354,44.38132
82.57713,40.88721
48.13136,46.64725
54.38163,60.51311
47.02724,51.77035
47.06386,55.1176
57.19124,44.82379
53.71239,51.67188
51.31813,51.12691
98.07959,57.37006
52.69258,46.53795
83.98351,38.19859
54.58711,45.34624
44.42826,54.22094
63.17279,44.36697
48.11346,43.73106
54.44493,50.32369
49.50733,36.00219
49.50733,54.47863
37.83272,57.12542
46.47461,59.02189
64.22733,42.06903
56.32638,51.56088
88.07775,43.83285
53.60004,58.1307
43.30928,45.30411
50.81219,43.08577
46.62262,55.65781
45.91533,52.35728
52.41401,47.88637
49.80217,68.37643
51.71931,60.03783
73.99669,45.41639
80.76342,44.76694
49.17571,56.36251
46.43755,54.97882
75.35751,54.1034
55.23017,61.84506
54.12766,73.53535
47.55536,47.64647
39.43763,48.59896
45.00603,60.56569
81.36896,52.76907
77.76469,52.57569
53.90445,52.85345
58.10254,57.40334
67.38136,53.96201
54.82325,63.68098
50.93069,44.4673
34.82197,46.02902
49.95756,54.5487
43.76424,48.92535
58.75109,51.95448
47.17352,45.91824
44.35066,42.80411
46.34472,51.88091
59.63855,57.58052
53.40688,43.78925
52.70893,53.45231
55.68052,36.10814
61.9059,46.70181
49.94032,51.4125
33.04544,46.70181
42.54695,57.2145
50.16399,45.38834
66.351,45.91824
52.41401,50.22238
43.48787,47.45904
45.61425,50.10817
46.77017,41.35167
44.37008,40.27539
47.71805,62.28612
51.0995,49.78953
52.88836,52.79319
50.55732,53.93841
50.47207,51.56088
53.0834,45.77939
40.53604,71.86279
43.92139,55.4056
48.11346,49.24958
48.91231,49.43022
50.52324,48.84722
46.56718,52.38159
48.20288,48.63825
54.9331,51.90544
49.00027,70.71976
37.90094,53.08182
38.55428,48.69057
45.44401,57.92225
53.00222,61.64917
40.97976,71.06998
42.24224,54.24442
43.38874,50.18434
54.15946,50.43741
49.42027,51.46201
42.62783,46.15333
46.15852,52.29645
57.93927,46.76992
49.48993,62.72408
28.57302,45.80719
34.1477,56.77889
44.69882,64.60402
38.42001,49.82788
63.62107,49.46884
65.13273,62.89639
45.29215,55.77208
53.423,49.6615
74.2523,47.60637
61.06551,65.67903
53.55181,44.10794
53.03471,65.35838
60.08454,46.40095
53.35848,41.44394
35.62877,38.33169
52.92091,50.00642
69.70575,52.73287
45.15885,57.38116
65.42297,41.27462
44.85269,39.84632
49.40285,46.04285
52.85578,40.24377
50.09528,44.9939
48.77125,47.39193
39.87199,46.98721
43.80359,40.84047
46.04645,45.19155
45.53867,51.90544
38.93216,58.93554
52.23296,63.22952
44.67955,54.77
42.16062,56.75646
47.53724,49.13311
50.59138,50.41216
42.01738,55.12915
46.10252,54.37336
54.63443,43.73106
39.24061,49.41734
60.91018,41.27462
42.40503,57.34787
59.73954,57.05851
64.46822,51.44963
52.3318,52.11353
56.3111,46.23602
63.71575,77.03616
57.17618,69.3655
46.13985,44.89474
50.30116,63.51081
53.92042,50.01915
49.07052,54.02097
66.27308,42.18991
54.87035,68.06849
39.97985,87.60031
46.78857,44.53883
33.76728,47.91295
38.53193,65.68873
60.41329,45.27599
64.34788,50.12087
48.32779,56.11347
37.85548,64.9676
39.17472,53.85573
63.86427,54.87451
48.36341,51.23885
49.54211,56.80131
35.45916,42.06903
53.63216,47.81985
47.66388,56.93565
41.23117,43.45359
64.80133,52.38159
57.59638,56.40767
55.63411,64.31761
56.75288,66.44036
48.09557,63.17916
57.28152,55.49744
45.74622,47.61974
52.85578,57.60262
47.59156,67.80611
46.13985,64.16897
67.41969,53.32114
43.82323,58.84906
47.64581,62.86601
62.65261,67.26881
47.60965,56.59921
74.86448,59.46248
61.00908,73.74284
45.61425,48.12507
63.8103,79.27617
47.08216,60.82791
33.86914,53.3808
47.41025,53.74924
51.26775,45.47242
39.45947,48.20438
78.60184,46.12573
37.46674,38.11517
37.65018,52.36944
46.64109,40.98052
39.02053,64.00009
48.68288,38.84313
53.43913,57.95521
44.58307,39.3641
68.99793,47.53946
40.38704,53.78476
44.83348,53.79659
40.79018,51.51147
43.76424,46.41467
43.30928,54.39677
32.25414,66.94627
40.30165,42.49063
47.64581,41.04261
41.35631,44.42433
51.86896,48.69057
35.43488,50.51309
51.58593,51.62258
51.90216,55.25603
50.38668,55.30209
54.28653,68.49735
62.33567,52.50299
48.20288,79.30025
56.57049,65.06552
41.1266,54.1857
48.20288,55.9999
50.19833,52.33295
51.3349,39.10448
41.27291,49.546
56.69215,58.08687
36.93428,48.17796
40.34438,48.61206
43.52747,37.79649
47.17352,37.6784
41.41873,52.47873
34.12247,54.04453
51.63599,54.73512
43.10998,47.61974
45.6897,53.34501
28.42193,59.43035
59.17465,51.37534
44.48637,55.10604
42.5267,72.83948
64.80133,72.79576
70.62628,65.63055
65.17238,66.44994
43.94099,60.14378
52.95345,48.6775
51.73597,49.33998
60.59833,46.89227
34.27356,46.22224
46.06514,49.55885
44.11703,57.27011
48.14926,67.77793
52.44686,43.40961
39.69883,47.67319
46.3633,48.15152
46.97228,55.12915
68.4717,48.50718
68.4717,60.67072
35.62877,66.85111
39.82877,53.60692
43.24959,75.4328
32.49355,67.36339
39.10872,47.63311
25.48225,54.88611
41.39793,69.41137
44.52508,46.08431
35.45916,41.64315
40.28028,51.67188
46.41899,59.8573
35.16651,53.21358
40.42967,56.59921
34.67327,54.06809
37.90094,44.9939
52.06782,43.97784
51.53583,45.10695
82.59799,65.59174
56.57049,44.73849
35.16651,46.30481
37.25929,63.82079
45.80267,43.33622
51.30134,64.9774
60.7261,61.88622
48.18501,73.21433
53.88846,54.05631
59.01435,58.16354
49.01784,54.25615
72.22984,48.32309
41.18937,51.4125
43.74456,42.55052
47.06386,58.45832
33.27917,51.43726
43.64601,50.09546
46.78857,70.11404
58.45718,56.28339
51.31813,62.76466
55.27692,64.91859
58.48664,57.69097
43.62629,38.90863
32.44051,54.1622
67.96674,66.02705
36.62991,57.50307
73.96177,60.58671
28.57302,52.50299
62.61137,43.96337
73.86856,48.8863
47.06386,53.51183
45.76504,47.35161
58.72176,54.65364
45.53867,53.46422
40.10887,60.23896
67.35579,47.28434
44.81428,44.36697
55.69599,48.16474
61.61307,45.10695
45.55758,57.46985
42.94986,42.52058
38.7992,49.33998
51.81913,44.66729
33.30504,56.57671
51.15004,47.16301
44.23399,56.3851
39.43763,55.25603
47.35573,61.89651
68.53456,43.26271
37.21303,54.19745
67.9414,62.40865
37.37469,57.83425
46.08383,62.08137
36.88761,60.56569
51.56923,45.80719
39.7855,47.55285
36.03734,58.93554
47.11872,50.33634
48.38122,56.23813
65.15916,71.82734
65.54134,52.78114
54.47656,46.98721
74.15945,59.30167
66.07787,68.70152
69.45821,71.39172
45.1207,55.80631
55.38587,60.90112
78.0521,75.78644
48.36341,47.16301
44.29237,54.5837
42.24224,54.66528
58.45718,50.3869
44.77582,49.39157
47.71805,54.34994
57.65616,70.94446
43.09,58.57799
58.60432,48.87328
55.86581,61.76266
34.44901,58.11974
56.40277,46.97366
52.5289,50.85223
64.50829,60.01662
51.23415,56.91328
55.69599,56.64418
53.14825,56.23813
53.22921,56.75646
62.14195,54.92089
58.56022,47.99261
43.74456,47.19
62.30803,56.30601
57.43166,61.9068
52.01818,60.01662
56.14261,47.96607
44.58307,62.58183
62.05873,63.54087
51.85235,61.91708
60.55568,83.94109
61.98931,57.31455
71.45065,56.75646
45.1207,60.56569
66.12998,60.66022
48.82419,54.502
45.00603,46.74269
51.75261,58.56712
61.61307,46.63361
43.24959,51.13936
44.11703,64.35719
37.87821,48.8863
57.8649,45.90437
57.31158,70.62968
49.80217,65.05573
47.93415,44.93727
32.3075,61.62851
48.92992,58.85987
53.40688,55.10604
52.5289,54.31479
45.29215,47.51267
43.10998,50.36163
41.56401,43.27742
52.06782,63.78088
57.14605,55.94303
55.04272,56.49789
67.61102,47.49927
58.01353,74.2933
52.34824,64.28791
61.64101,42.61032
48.57662,62.68347
40.5785,44.06462
55.27692,42.23516
76.48053,53.45231
58.67775,44.56741
63.29536,65.5432
53.43913,45.21972
52.79057,33.51115
55.74236,70.49435
53.53572,69.83199
56.08122,48.69057
51.01517,42.92293
51.01517,60.71267
47.7361,45.31816
49.22822,59.54807
44.81428,66.77488
65.17238,53.58316
47.64581,52.35728
60.2134,43.35091
45.85904,46.81074
42.88966,63.04803
53.37462,73.61323
45.59536,85.05614
49.76758,80.17847
63.89122,64.90878
77.00795,44.02125
34.44901,43.90541
45.21603,81.64976
,75.54243
,76.72978
,123.6335
,62.91663
,66.02705
,89.43428
,77.0031
,62.48002
,70.03227
,84.54565
,77.96439
,58.95714
,48.83419
,74.37894
,54.42017
,88.85583
,72.17218
,58.8815
,92.1548
,74.6182
,43.8764
,65.56261
,65.67903
,74.13889
,82.14725
,63.9105
,57.2145
,56.68912
,88.81284
,74.27615
,83.53055
,46.5653
,45.3322
,64.92839
,69.30122
,96.53414
,59.61217
,62.66315
,61.31783
,74.49866
,43.05621
,56.93565
,48.12507
,59.62286
,51.16425
,57.63577
,51.01472
,52.55147
,58.07591
,66.01742
,79.10735
,80.61398
,59.04346
,66.77488
,92.76073
