"","orig.ident","nCount_RNA","nFeature_RNA","integrated_snn_res.3.4","seurat_clusters","cl.conserv","cl.HC.LC.split","cl.Ab.split.3","cl.Ab.split.4","diameter","drg_level","drg_location","batch","donor","cl.conserv_final"
"N2-RL5-174","SeuratProject",100650,7113,"6","6","PEP.H5","PEP.H5","PEP.H5","PEP.H5",50.39953308,"lumbar","lumbar 5",3,"N2","hPEP.CHRNA7"
"N2-RL5-175","SeuratProject",307922,11680,"0","0","Propr","Propr","Propr","Propr",75.58456148,"lumbar","lumbar 5",3,"N2","hPropr"
"N2-RL5-176","SeuratProject",402587,11948,"8","8","PEP.H4","PEP.H4","PEP.H4","PEP.H4",50.90228401,"lumbar","lumbar 5",3,"N2","hPEP.PIEZOh"
"N2-RL5-177","SeuratProject",118797,2913,"3","3","PEP.H0","PEP.H0","Ab.LTMR.s22","Ab.LTMR.s22",65.42653454,"lumbar","lumbar 5",3,"N2","hPEP.0"
"N2-RL5-178","SeuratProject",103017,6641,"14","14","PEP3","PEP3","PEP3","PEP3",55.74924019,"lumbar","lumbar 5",3,"N2","hPEP.KIT"
"N2-RL5-179","SeuratProject",93086,3917,"1","1","NP1","NP1","NP1","NP1",45.77938757,"lumbar","lumbar 5",3,"N2","hNP1"
"N2-RL5-180","SeuratProject",165363,5763,"0","0","Ab.LTMR","Ab.LTMR","Ab.LTMR.2","Ab.LTMR.7",57.63577039,"lumbar","lumbar 5",3,"N2","hPropr"
"N2-RL5-181","SeuratProject",95838,5497,"11","11","Ad.LTMR","Ad.LTMR.LC","Ad.LTMR","Ad.LTMR",48.46779343,"lumbar","lumbar 5",3,"N2","hAd.LTMR"
"N2-RL5-182","SeuratProject",106940,2995,"3","3","PEP.H0","PEP.H0","Ab.LTMR.s22","Ab.LTMR.s22",86.2675215,"lumbar","lumbar 5",3,"N2","hPEP.0"
"N2-RL5-183","SeuratProject",283548,10073,"17","17","TRPM8","TRPM8","TRPM8","TRPM8",43.7019376,"lumbar","lumbar 5",3,"N2","hTRPM8"
"N2-RL5-184","SeuratProject",56006,3307,"3","3","PEP.H0","PEP.H0","Ab.LTMR.s22","Ab.LTMR.s22",74.97568063,"lumbar","lumbar 5",3,"N2","hPEP.0"
"N2-RL5-185","SeuratProject",104048,3991,"3","3","PEP.H0","PEP.H0","Ab.LTMR.s22","Ab.LTMR.s22",52.16237105,"lumbar","lumbar 5",3,"N2","hPEP.0"
"N2-RL5-186","SeuratProject",118634,7828,"5","5","Ab.LTMR","Ab.LTMR","Ab.LTMR.1","Ab.LTMR.7",72.37477168,"lumbar","lumbar 5",3,"N2","hAb.LTMR"
"N2-RL5-187","SeuratProject",101658,5896,"0","0","Ab.LTMR","Ab.LTMR","Ab.LTMR.2","Ab.LTMR.7",91.84341091,"lumbar","lumbar 5",3,"N2","hPropr"
"N2-RL5-188","SeuratProject",84263,3424,"3","3","PEP.H0","PEP.H0","PEP.H0","PEP.H0",43.29213141,"lumbar","lumbar 5",3,"N2","hPEP.0"
"N2-RL5-189","SeuratProject",65141,5827,"2","2","PEP.H0","PEP.H0","PEP.H0","PEP.H0",52.97376713,"lumbar","lumbar 5",3,"N2","hPEP.0"
"N2-RL5-190","SeuratProject",82429,5226,"9","9","PEP1.3","PEP1.3","PEP1.3","PEP1.3",48.72978341,"lumbar","lumbar 5",3,"N2","hPEP.TRPV1/A1.1"
"N2-RL5-191","SeuratProject",151997,5808,"3","3","PEP.H0","PEP.H0","Ab.LTMR.s22","Ab.LTMR.s22",74.92471721,"lumbar","lumbar 5",3,"N2","hPEP.0"
"N2-RL5-192","SeuratProject",138391,8321,"0","0","Propr","Propr","Propr","Propr",69.40219939,"lumbar","lumbar 5",3,"N2","hPropr"
"N2-RL5-193","SeuratProject",91926,2567,"3","3","PEP.H0","PEP.H0","Ab.LTMR.s22","Ab.LTMR.s22",81.82110755,"lumbar","lumbar 5",3,"N2","hPEP.0"
"N2-RT12-1","SeuratProject",212169,10803,"10","10","NP1","NP1","NP1","NP1",40.40377332,"thoracic","thoracic 12",1,"N2","hNP1"
"N2-RT12-2","SeuratProject",140858,5551,"3","3","PEP.H0","PEP.H0","Ab.LTMR.s22","Ab.LTMR.s22",64.24540854,"thoracic","thoracic 12",1,"N2","hPEP.0"
"N2-RT12-3","SeuratProject",142942,6600,"0","0","Propr","Propr","Propr","Propr",54.83592788,"thoracic","thoracic 12",1,"N2","hPropr"
"N2-RT12-5","SeuratProject",131239,5173,"3","3","PEP.H0","PEP.H0","Ab.LTMR.s22","Ab.LTMR.s22",78.26241897,"thoracic","thoracic 12",1,"N2","hPEP.0"
"N2-RT12-6","SeuratProject",699065,13016,"0","0","Propr","Propr","Propr","Propr",60.20391247,"thoracic","thoracic 12",1,"N2","hPropr"
"N2-RT12-7","SeuratProject",290521,11134,"12","12","NP3","NP3","NP3","NP3",47.68127898,"thoracic","thoracic 12",1,"N2","hPEP.SST"
"N2-RT12-8","SeuratProject",312123,11027,"1","1","NP1","NP1","NP1","NP1",51.7625235,"thoracic","thoracic 12",1,"N2","hNP1"
"N2-RT12-9","SeuratProject",169089,8726,"11","11","Ad.LTMR","Ad.LTMR.LC","Ad.LTMR","Ad.LTMR",73.39826104,"thoracic","thoracic 12",1,"N2","hAd.LTMR"
"N2-RT12-10","SeuratProject",145955,7166,"11","11","Ad.LTMR","Ad.LTMR.LC","Ad.LTMR","Ad.LTMR",70.52683655,"thoracic","thoracic 12",1,"N2","hAd.LTMR"
"N2-RT12-11","SeuratProject",305157,8776,"9","9","PEP1.3","PEP1.3","PEP1.3","PEP1.3",54.88762977,"thoracic","thoracic 12",1,"N2","hPEP.TRPV1/A1.1"
"N2-RT12-12","SeuratProject",451442,12811,"13","13","Ad.LTMR","Ad.LTMR.HC","Ad.LTMR","Ad.LTMR",66.67784062,"thoracic","thoracic 12",1,"N2","hAd.LTMR"
"N2-RT12-14","SeuratProject",79676,7255,"7","7","Ab.LTMR","Ab.LTMR","Ab.LTMR.2","Ab.LTMR.14",78.26999882,"thoracic","thoracic 12",1,"N2","hAb.LTMR"
"N2-RT12-15","SeuratProject",61115,6449,"4","4","PEP.H8","PEP.H8.LC","PEP.H8","PEP.H8",56.00207564,"thoracic","thoracic 12",1,"N2","hPEP.NTRK3"
"N2-RT12-16","SeuratProject",430342,12372,"5","5","Ab.LTMR","Ab.LTMR","Ab.LTMR.1","Ab.LTMR.12",85.76859205,"thoracic","thoracic 12",1,"N2","hAb.LTMR"
"N2-RT12-17","SeuratProject",209990,9737,"4","4","PEP.H8","PEP.H8.LC","PEP.H8","PEP.H8",58.82770126,"thoracic","thoracic 12",1,"N2","hPEP.NTRK3"
"N2-RT12-20","SeuratProject",75454,7129,"1","1","NP1","NP1","NP1","NP1",43.98329679,"thoracic","thoracic 12",1,"N2","hNP1"
"N2-RT12-21","SeuratProject",243546,9505,"16","16","NP2","NP2","NP2","NP2",NA,"thoracic","thoracic 12",1,"N2","hNP2"
"N2-RT12-22","SeuratProject",98885,6142,"17","17","C.LTMR","C.LTMR","C.LTMR","C.LTMR",36.58449956,"thoracic","thoracic 12",1,"N2","hC.LTMR"
"N2-RT12-23","SeuratProject",102688,7615,"7","7","Ab.LTMR","Ab.LTMR","Ab.LTMR.2","Ab.LTMR.14",68.79700905,"thoracic","thoracic 12",1,"N2","hAb.LTMR"
"N2-RT12-24","SeuratProject",91314,7014,"6","6","PEP.H5","PEP.H5","PEP.H5","PEP.H5",52.18485459,"thoracic","thoracic 12",1,"N2","hPEP.CHRNA7"
"N2-RT12-25","SeuratProject",83212,7172,"6","6","PEP.H5","PEP.H5","PEP.H5","PEP.H5",40.52564145,"thoracic","thoracic 12",1,"N2","hPEP.CHRNA7"
"N2-RT12-26","SeuratProject",73488,7188,"4","4","PEP.H8","PEP.H8.LC","PEP.H8","PEP.H8",58.40327464,"thoracic","thoracic 12",1,"N2","hPEP.NTRK3"
"N2-RT12-27","SeuratProject",247711,9808,"5","5","Ab.LTMR","Ab.LTMR","Ab.LTMR.1","Ab.LTMR.12",48.30819562,"thoracic","thoracic 12",1,"N2","hAb.LTMR"
"N2-RT12-28","SeuratProject",52768,5685,"4","4","PEP.H8","PEP.H8.LC","PEP.H8","PEP.H8",NA,"thoracic","thoracic 12",1,"N2","hPEP.NTRK3"
"N2-RT12-29","SeuratProject",118240,6991,"7","7","Ab.LTMR","Ab.LTMR","Ab.LTMR.2","Ab.LTMR.7",57.85824394,"thoracic","thoracic 12",1,"N2","hAb.LTMR"
"N2-RT12-30","SeuratProject",83405,8282,"2","2","PEP1.3","PEP1.3","PEP1.3","PEP1.3",NA,"thoracic","thoracic 12",1,"N2","hPEP.0"
"N2-RT12-31","SeuratProject",68500,6746,"6","6","PEP.H5","PEP.H5","PEP.H5","PEP.H5",52.83798943,"thoracic","thoracic 12",1,"N2","hPEP.CHRNA7"
"N2-RT12-32","SeuratProject",119198,6403,"3","3","Ab.LTMR","Ab.LTMR","Ab.LTMR.2","Ab.LTMR.7",62.1524082,"thoracic","thoracic 12",1,"N2","hAb.LTMR"
"N2-RT12-33","SeuratProject",281565,11161,"13","13","Ad.LTMR","Ad.LTMR.HC","Ad.LTMR","Ad.LTMR",40.78647033,"thoracic","thoracic 12",1,"N2","hAd.LTMR"
"N2-RT12-34","SeuratProject",99562,7223,"12","12","NP3","NP3","NP3","NP3",43.9239161,"thoracic","thoracic 12",1,"N2","hPEP.SST"
"N2-RT12-35","SeuratProject",239941,10387,"5","5","Ab.LTMR","Ab.LTMR","Ab.LTMR.1","Ab.LTMR.14",79.62424787,"thoracic","thoracic 12",1,"N2","hAb.LTMR"
"N2-RT12-36","SeuratProject",54733,5994,"2","2","PEP.H0","PEP.H0","PEP.H0","PEP.H0",52.92248006,"thoracic","thoracic 12",1,"N2","hPEP.0"
"N2-RT12-38","SeuratProject",246557,10513,"10","10","NP1","NP1","NP1","NP1",42.51437983,"thoracic","thoracic 12",1,"N2","hNP1"
"N2-RT12-39","SeuratProject",99289,7176,"11","11","Ad.LTMR","Ad.LTMR.LC","Ad.LTMR","Ad.LTMR",45.45834889,"thoracic","thoracic 12",1,"N2","hAd.LTMR"
"N2-RT12-40","SeuratProject",277965,9336,"1","1","NP1","NP1","NP1","NP1",54.13226331,"thoracic","thoracic 12",1,"N2","hNP1"
"N2-RT12-41","SeuratProject",70006,6569,"11","11","Ad.LTMR","Ad.LTMR.LC","Ad.LTMR","Ad.LTMR",52.00585424,"thoracic","thoracic 12",1,"N2","hAd.LTMR"
"N2-RT12-42","SeuratProject",97974,6748,"3","3","PEP.H0","PEP.H0","PEP.H0","PEP.H0",53.55139165,"thoracic","thoracic 12",1,"N2","hPEP.0"
"N2-RT12-43","SeuratProject",322722,8111,"6","6","PEP.H5","PEP.H5","PEP.H5","PEP.H5",46.42640754,"thoracic","thoracic 12",1,"N2","hPEP.CHRNA7"
"N2-RT12-44","SeuratProject",775828,10926,"7","7","Ab.LTMR","Ab.LTMR","Ab.LTMR.2","Ab.LTMR.7",63.60798172,"thoracic","thoracic 12",1,"N2","hAb.LTMR"
"N2-RT12-46","SeuratProject",381736,11104,"6","6","PEP.H5","PEP.H5","PEP.H5","PEP.H5",51.36848725,"thoracic","thoracic 12",1,"N2","hPEP.CHRNA7"
"N2-RT12-47","SeuratProject",184720,7061,"3","3","Ab.LTMR","Ab.LTMR","Ab.LTMR.2","Ab.LTMR.7",65.43626412,"thoracic","thoracic 12",1,"N2","hAb.LTMR"
"N2-RT12-49","SeuratProject",123625,6605,"3","3","Ad.LTMR","Ad.LTMR.LC","Ad.LTMR","Ad.LTMR",57.48092444,"thoracic","thoracic 12",1,"N2","hPEP.0"
"N2-RT12-50","SeuratProject",5020,2061,"2","2","PEP.H0","PEP.H0","Ab.LTMR.s22","Ab.LTMR.s22",59.43035047,"thoracic","thoracic 12",1,"N2","hPEP.0"
"N2-RT12-51","SeuratProject",420519,9075,"4","4","PEP.H8","PEP.H8.LC","PEP.H8","PEP.H8",40.30699303,"thoracic","thoracic 12",1,"N2","hPEP.NTRK3"
"N2-RT12-52","SeuratProject",95946,6735,"6","6","PEP.H5","PEP.H5","PEP.H5","PEP.H5",56.7564631,"thoracic","thoracic 12",1,"N2","hPEP.CHRNA7"
"N2-RT12-53","SeuratProject",91112,5966,"7","7","Ab.LTMR","Ab.LTMR","Ab.LTMR.2","Ab.LTMR.7",67.76854076,"thoracic","thoracic 12",1,"N2","hAb.LTMR"
"N2-RT12-54","SeuratProject",67126,4764,"3","3","PEP.H0","PEP.H0","PEP.H0","PEP.H0",63.78087813,"thoracic","thoracic 12",1,"N2","hPEP.0"
"N2-RT12-55","SeuratProject",143983,7369,"7","7","Ab.LTMR","Ab.LTMR","Ab.LTMR.2","Ab.LTMR.14",68.41365833,"thoracic","thoracic 12",1,"N2","hAb.LTMR"
"N2-RT12-56","SeuratProject",153683,7837,"12","12","NP3","NP3","NP3","NP3",57.0919722,"thoracic","thoracic 12",1,"N2","hPEP.SST"
"N2-RT12-57","SeuratProject",118576,6008,"0","0","Propr","Propr","Propr","Propr",55.79489887,"thoracic","thoracic 12",1,"N2","hPropr"
"N2-RT12-58","SeuratProject",175509,10619,"10","10","NP1","NP1","NP1","NP1",50.47526496,"thoracic","thoracic 12",1,"N2","hNP1"
"N2-RT12-59","SeuratProject",70517,6151,"1","1","NP1","NP1","NP1","NP1",52.7570061,"thoracic","thoracic 12",1,"N2","hNP1"
"N2-RT12-60","SeuratProject",293461,11357,"16","16","NP2","NP2","NP2","NP2",51.75805298,"thoracic","thoracic 12",1,"N2","hNP2"
"N2-RT12-61","SeuratProject",300485,11110,"8","8","PEP.H4","PEP.H4","PEP.H4","PEP.H4",52.6120026,"thoracic","thoracic 12",1,"N2","hPEP.PIEZOh"
"N2-RT12-62","SeuratProject",80158,5866,"2","2","Un.Gi","Un.Gi","Un.Gi","Un.Gi",51.12690906,"thoracic","thoracic 12",1,"N2","hATF3"
"N2-RT12-63","SeuratProject",95886,7340,"5","5","Ab.LTMR","Ab.LTMR","Ab.LTMR.1","Ab.LTMR.7",56.04535673,"thoracic","thoracic 12",1,"N2","hAb.LTMR"
"N2-RT12-64","SeuratProject",114560,8044,"1","1","NP1","NP1","NP1","NP1",48.49405612,"thoracic","thoracic 12",1,"N2","hNP1"
"N2-RT12-65","SeuratProject",214058,7317,"12","12","NP3","NP3","NP3","NP3",40.40164754,"thoracic","thoracic 12",1,"N2","hPEP.SST"
"N2-RT12-66","SeuratProject",112808,6593,"11","11","Ad.LTMR","Ad.LTMR.LC","Ad.LTMR","Ad.LTMR",49.99369229,"thoracic","thoracic 12",1,"N2","hAd.LTMR"
"N2-RT12-67","SeuratProject",66640,6412,"1","1","NP1","NP1","NP1","NP1",47.85977413,"thoracic","thoracic 12",1,"N2","hNP1"
"N2-RT12-68","SeuratProject",58959,6485,"1","1","NP1","NP1","NP1","NP1",51.05214386,"thoracic","thoracic 12",1,"N2","hNP1"
"N2-RT12-69","SeuratProject",146630,8401,"4","4","PEP.H8","PEP.H8.HC","PEP.H8","PEP.H8",42.23515873,"thoracic","thoracic 12",1,"N2","hPEP.NTRK3"
"N2-RT12-70","SeuratProject",86018,6988,"11","11","Ad.LTMR","Ad.LTMR.LC","Ad.LTMR","Ad.LTMR",55.02511871,"thoracic","thoracic 12",1,"N2","hAd.LTMR"
"N2-RT12-71","SeuratProject",98320,7408,"11","11","Ad.LTMR","Ad.LTMR.LC","Ad.LTMR","Ad.LTMR",55.79489887,"thoracic","thoracic 12",1,"N2","hAd.LTMR"
"N2-RT12-72","SeuratProject",92804,7525,"0","0","Propr","Propr","Propr","Propr",53.72554418,"thoracic","thoracic 12",1,"N2","hPropr"
"N2-RT12-73","SeuratProject",145531,6333,"3","3","PEP.H0","PEP.H0","Ab.LTMR.s22","Ab.LTMR.s22",77.54682761,"thoracic","thoracic 12",1,"N2","hPEP.0"
"N2-RT12-74","SeuratProject",181029,8378,"7","7","Ab.LTMR","Ab.LTMR","Ab.LTMR.2","Ab.LTMR.14",61.46301159,"thoracic","thoracic 12",1,"N2","hAb.LTMR"
"N2-RT12-75","SeuratProject",186556,7592,"12","12","NP3","NP3","NP3","NP3",45.70980342,"thoracic","thoracic 12",1,"N2","hPEP.SST"
"N2-RT12-76","SeuratProject",116383,5806,"7","7","Ab.LTMR","Ab.LTMR","Ab.LTMR.2","Ab.LTMR.7",51.94222407,"thoracic","thoracic 12",1,"N2","hAb.LTMR"
"N2-RT12-77","SeuratProject",164097,9130,"1","1","NP1","NP1","NP1","NP1",55.52038356,"thoracic","thoracic 12",1,"N2","hNP1"
"N2-RT12-78","SeuratProject",144768,9503,"13","13","Ad.LTMR","Ad.LTMR.HC","Ad.LTMR","Ad.LTMR",49.05530329,"thoracic","thoracic 12",1,"N2","hAd.LTMR"
"N2-RT12-79","SeuratProject",168737,10306,"12","12","NP3","NP3","NP3","NP3",43.48287889,"thoracic","thoracic 12",1,"N2","hPEP.SST"
"N2-RT12-80","SeuratProject",72615,6288,"3","3","Ab.LTMR","Ab.LTMR","Ab.LTMR.2","Ab.LTMR.7",69.11725438,"thoracic","thoracic 12",1,"N2","hAb.LTMR"
"N2-RT12-81","SeuratProject",128050,8299,"7","7","Ab.LTMR","Ab.LTMR","Ab.LTMR.2","Ab.LTMR.7",63.31001623,"thoracic","thoracic 12",1,"N2","hAb.LTMR"
"N2-RT12-82","SeuratProject",66862,5123,"3","3","PEP.H0","PEP.H0","PEP.H0","PEP.H0",63.07831359,"thoracic","thoracic 12",1,"N2","hPEP.0"
"N2-RT12-83","SeuratProject",159843,7435,"9","9","PEP1.3","PEP1.3","PEP1.3","PEP1.3",49.80231596,"thoracic","thoracic 12",1,"N2","hPEP.TRPV1/A1.1"
"N2-RT12-84","SeuratProject",418275,10853,"12","12","NP3","NP3","NP3","NP3",42.49063079,"thoracic","thoracic 12",1,"N2","hPEP.SST"
"N2-RT12-85","SeuratProject",101622,6001,"3","3","Ab.LTMR","Ab.LTMR","Ab.LTMR.2","Ab.LTMR.7",50.03187971,"thoracic","thoracic 12",1,"N2","hAb.LTMR"
"N2-RT12-86","SeuratProject",102181,4856,"3","3","PEP.H0","PEP.H0","PEP.H0","PEP.H0",48.88630346,"thoracic","thoracic 12",1,"N2","hPEP.0"
"N2-RT12-87","SeuratProject",97076,6474,"7","7","Ab.LTMR","Ab.LTMR","Ab.LTMR.2","Ab.LTMR.7",56.1134694,"thoracic","thoracic 12",1,"N2","hAb.LTMR"
"N2-RT12-88","SeuratProject",311232,10919,"4","4","PEP.H8","PEP.H8.HC","PEP.H8","PEP.H8",46.53794691,"thoracic","thoracic 12",1,"N2","hPEP.NTRK3"
"N2-RT12-89","SeuratProject",161511,10318,"10","10","NP1","NP1","NP1","NP1",53.47612613,"thoracic","thoracic 12",1,"N2","hNP1"
"N2-RT12-90","SeuratProject",202588,8138,"2","2","PEP.H0","PEP.H0","PEP.H0","PEP.H0",61.46301159,"thoracic","thoracic 12",1,"N2","hPEP.0"
"N2-RT12-91","SeuratProject",304749,11357,"8","8","PEP.H4","PEP.H4","PEP.H4","PEP.H4",45.50041247,"thoracic","thoracic 12",1,"N2","hPEP.PIEZOh"
"N2-RT12-92","SeuratProject",346429,12112,"6","6","PEP.H5","PEP.H5","PEP.H5","PEP.H5",57.83424886,"thoracic","thoracic 12",1,"N2","hPEP.CHRNA7"
"N2-RT12-93","SeuratProject",122505,5045,"3","3","PEP.H0","PEP.H0","Ab.LTMR.s22","Ab.LTMR.s22",60.18609945,"thoracic","thoracic 12",1,"N2","hPEP.0"
"N2-RT12-94","SeuratProject",282296,10643,"5","5","Ab.LTMR","Ab.LTMR","Ab.LTMR.1","Ab.LTMR.12",52.43018428,"thoracic","thoracic 12",1,"N2","hAb.LTMR"
"N2-RT12-95","SeuratProject",67081,6374,"9","9","PEP1.3","PEP1.3","PEP1.3","PEP1.3",44.62450764,"thoracic","thoracic 12",1,"N2","hPEP.TRPV1/A1.1"
"N2-RT12-96","SeuratProject",1319704,13519,"8","8","PEP.H4","PEP.H4","PEP.H4","PEP.H4",57.1588377,"thoracic","thoracic 12",1,"N2","hPEP.PIEZOh"
"N2-RT12-97","SeuratProject",306682,11899,"15","15","PEP.H4.15","PEP.H4.15","PEP.H4.15","PEP.H4.15",42.68496011,"thoracic","thoracic 12",2,"N2","hPEP.TRPV1/A1.2"
"N2-RT12-98","SeuratProject",247520,11795,"10","10","NP1","NP1","NP1","NP1",57.37006431,"thoracic","thoracic 12",2,"N2","hNP1"
"N2-RT12-99","SeuratProject",467161,13056,"9","9","PEP1.3","PEP1.3","PEP1.3","PEP1.3",55.65781046,"thoracic","thoracic 12",2,"N2","hPEP.TRPV1/A1.1"
"N2-RT12-100","SeuratProject",462371,12865,"13","13","Ad.LTMR","Ad.LTMR.HC","Ad.LTMR","Ad.LTMR",52.35728017,"thoracic","thoracic 12",2,"N2","hAd.LTMR"
"N2-RT12-101","SeuratProject",423399,12500,"0","0","Propr","Propr","Propr","Propr",60.03783151,"thoracic","thoracic 12",2,"N2","hPropr"
"N2-RT12-102","SeuratProject",416167,11969,"13","13","Ad.LTMR","Ad.LTMR.HC","Ad.LTMR","Ad.LTMR",44.46730312,"thoracic","thoracic 12",2,"N2","hAd.LTMR"
"N2-RT12-103","SeuratProject",100002,6329,"2","2","PEP.H0","PEP.H0","PEP.H0","PEP.H0",45.91823954,"thoracic","thoracic 12",2,"N2","hPEP.0"
"N2-RT12-104","SeuratProject",219051,9349,"3","3","TRPM8","TRPM8","TRPM8","TRPM8",42.80410887,"thoracic","thoracic 12",2,"N2","hTRPM8"
"N2-RT12-105","SeuratProject",85966,7665,"17","17","C.LTMR","C.LTMR","C.LTMR","C.LTMR",43.78925424,"thoracic","thoracic 12",2,"N2","hC.LTMR"
"N2-RT12-106","SeuratProject",193085,10510,"10","10","NP1","NP1","NP1","NP1",46.70181343,"thoracic","thoracic 12",2,"N2","hNP1"
"N2-RT12-107","SeuratProject",291704,11125,"12","12","NP3","NP3","NP3","NP3",46.70181343,"thoracic","thoracic 12",2,"N2","hPEP.SST"
"N2-RT12-108","SeuratProject",124459,8609,"14","14","PEP3","PEP3","PEP3","PEP3",57.21449926,"thoracic","thoracic 12",2,"N2","hPEP.KIT"
"N2-RT12-109","SeuratProject",227747,11184,"13","13","Ad.LTMR","Ad.LTMR.HC","Ad.LTMR","Ad.LTMR",41.35167152,"thoracic","thoracic 12",2,"N2","hAd.LTMR"
"N2-RT12-110","SeuratProject",139603,9995,"16","16","NP2","NP2","NP2","NP2",49.78953139,"thoracic","thoracic 12",2,"N2","hNP2"
"N2-RT12-111","SeuratProject",232830,9346,"2","2","PEP.H0","PEP.H0","PEP.H0","PEP.H0",52.79319474,"thoracic","thoracic 12",2,"N2","hPEP.0"
"N2-RT12-112","SeuratProject",305574,11910,"5","5","Ab.LTMR","Ab.LTMR","Ab.LTMR.1","Ab.LTMR.12",71.8627837,"thoracic","thoracic 12",2,"N2","hAb.LTMR"
"N2-RT12-113","SeuratProject",110646,8373,"6","6","PEP.H5","PEP.H5","PEP.H5","PEP.H5",55.40560075,"thoracic","thoracic 12",2,"N2","hPEP.CHRNA7"
"N2-RT12-114","SeuratProject",194708,11045,"10","10","NP1","NP1","NP1","NP1",48.84722047,"thoracic","thoracic 12",2,"N2","hNP1"
"N2-RT12-115","SeuratProject",409903,11537,"4","4","PEP.H8","PEP.H8.HC","PEP.H8","PEP.H8",61.64916955,"thoracic","thoracic 12",2,"N2","hPEP.NTRK3"
"N2-RT12-116","SeuratProject",346062,11692,"6","6","PEP.H5","PEP.H5","PEP.H5","PEP.H5",54.24441573,"thoracic","thoracic 12",2,"N2","hPEP.CHRNA7"
"N2-RT12-117","SeuratProject",454228,11670,"10","10","NP1","NP1","NP1","NP1",46.15332918,"thoracic","thoracic 12",2,"N2","hNP1"
"N2-RT12-118","SeuratProject",190724,8185,"12","12","NP3","NP3","NP3","NP3",46.76992169,"thoracic","thoracic 12",2,"N2","hPEP.SST"
"N2-RT12-119","SeuratProject",130742,8184,"7","7","Ab.LTMR","Ab.LTMR","Ab.LTMR.2","Ab.LTMR.7",62.72408039,"thoracic","thoracic 12",2,"N2","hAb.LTMR"
"N2-RT12-120","SeuratProject",318635,11455,"8","8","PEP.H4","PEP.H4","PEP.H4","PEP.H4",45.80719164,"thoracic","thoracic 12",2,"N2","hPEP.PIEZOh"
"N2-RT12-121","SeuratProject",225407,10495,"15","15","PEP.H4.15","PEP.H4.15","PEP.H4.15","PEP.H4.15",41.44394015,"thoracic","thoracic 12",2,"N2","hPEP.TRPV1/A1.2"
"N2-RT12-122","SeuratProject",168504,10204,"10","10","NP1","NP1","NP1","NP1",50.00642467,"thoracic","thoracic 12",2,"N2","hNP1"
"N2-RT12-123","SeuratProject",106792,6819,"12","12","NP3","NP3","NP3","NP3",39.84632655,"thoracic","thoracic 12",2,"N2","hPEP.SST"
"N2-RT12-124","SeuratProject",97957,8474,"12","12","NP3","NP3","NP3","NP3",46.04284828,"thoracic","thoracic 12",2,"N2","hPEP.SST"
"N2-RT12-125","SeuratProject",224384,11402,"16","16","NP2","NP2","NP2","NP2",47.39192542,"thoracic","thoracic 12",2,"N2","hNP2"
"N2-RT12-126","SeuratProject",185919,9613,"0","0","Propr","Propr","Propr","Propr",54.7699956,"thoracic","thoracic 12",2,"N2","hPropr"
"N2-RT12-127","SeuratProject",287348,10655,"9","9","PEP1.3","PEP1.3","PEP1.3","PEP1.3",49.41733996,"thoracic","thoracic 12",2,"N2","hPEP.TRPV1/A1.1"
"N2-RT12-128","SeuratProject",97369,7438,"7","7","Ab.LTMR","Ab.LTMR","Ab.LTMR.2","Ab.LTMR.14",57.05851007,"thoracic","thoracic 12",2,"N2","hAb.LTMR"
"N2-RT12-129","SeuratProject",251294,11225,"9","9","PEP1.3","PEP1.3","PEP1.3","PEP1.3",46.23601661,"thoracic","thoracic 12",3,"N2","hPEP.TRPV1/A1.1"
"N2-RT12-130","SeuratProject",84575,7903,"7","7","Ab.LTMR","Ab.LTMR","Ab.LTMR.2","Ab.LTMR.14",69.36549806,"thoracic","thoracic 12",3,"N2","hAb.LTMR"
"N2-RT12-131","SeuratProject",327630,11338,"0","0","Propr","Propr","Propr","Propr",68.06848597,"thoracic","thoracic 12",3,"N2","hPropr"
"N2-RT12-132","SeuratProject",199621,10957,"12","12","NP3","NP3","NP3","NP3",44.5388285,"thoracic","thoracic 12",3,"N2","hPEP.SST"
"N2-RT12-133","SeuratProject",56653,6251,"1","1","NP1","NP1","NP1","NP1",65.68872727,"thoracic","thoracic 12",3,"N2","hNP1"
"N2-RT12-134","SeuratProject",228881,11288,"15","15","PEP.H4.15","PEP.H4.15","PEP.H4.15","PEP.H4.15",45.27599477,"thoracic","thoracic 12",3,"N2","hPEP.TRPV1/A1.2"
"N2-RT12-135","SeuratProject",292097,11762,"0","0","Propr","Propr","Propr","Propr",64.96760087,"thoracic","thoracic 12",3,"N2","hPropr"
"N2-RT12-136","SeuratProject",65888,7551,"1","1","NP1","NP1","NP1","NP1",53.85573073,"thoracic","thoracic 12",3,"N2","hNP1"
"N2-RT12-137","SeuratProject",187799,10915,"12","12","NP3","NP3","NP3","NP3",56.80131215,"thoracic","thoracic 12",3,"N2","hPEP.SST"
"N2-RT12-138","SeuratProject",73713,7723,"0","0","Propr","Propr","Propr","Propr",63.17915828,"thoracic","thoracic 12",3,"N2","hPropr"
"N2-RT12-139","SeuratProject",171466,10894,"13","13","Ad.LTMR","Ad.LTMR.HC","Ad.LTMR","Ad.LTMR",53.32113982,"thoracic","thoracic 12",3,"N2","hAd.LTMR"
"N2-RT12-140","SeuratProject",264428,10608,"0","0","Propr","Propr","Propr","Propr",58.84905794,"thoracic","thoracic 12",3,"N2","hPropr"
