"","orig.ident","nCount_RNA","nFeature_RNA","RNA_snn_res.2.5","seurat_clusters","cell_type","cell_type_manual","large_group"
"Neuron653","pbmc3k",4709,69,"0","0","hNP1","hNP1","NP"
"Neuron654","pbmc3k",9971,66,"8","8","hAb.LTMR","hATF3","NF"
"Neuron655","pbmc3k",4986,60,"13","13","hAd.LTMR","hAd.LTMR","NF"
"Neuron656","pbmc3k",9170,76,"10","10","hPEP.NTRK3","hPEP.NTRK3","PEP"
"Neuron657","pbmc3k",14960,75,"8","8","hAb.LTMR","hATF3","NF"
"Neuron658","pbmc3k",2613,71,"0","0","hNP1","hNP1","NP"
"Neuron659","pbmc3k",1458,65,"14","14","hPEP0","hPEP.0","PEP"
"Neuron660","pbmc3k",10251,74,"6","6","hAd.LTMR","hAd.LTMR","NF"
"Neuron661","pbmc3k",6040,69,"1","1","hPEP.TRPV1/A1.2","hPEP.TRPV1/A1.2","PEP"
"Neuron662","pbmc3k",9414,75,"15","15","hNP2","hNP2","NP"
"Neuron663","pbmc3k",10667,72,"8","8","hAb.LTMR","hATF3","NF"
"Neuron664","pbmc3k",1058,62,"5","5","hNP1","hNP1","NP"
"Neuron665","pbmc3k",7576,64,"13","13","hAd.LTMR","hAd.LTMR","NF"
"Neuron667","pbmc3k",10102,78,"3","3","hSST","hSST","NP"
"Neuron668","pbmc3k",7057,66,"6","6","hAd.LTMR","hAd.LTMR","NF"
"Neuron669","pbmc3k",1474,58,"2","2","hPEP.TRPV1/A1.1","hPEP.TRPV1/A1.1","PEP"
"Neuron670","pbmc3k",8826,79,"10","10","hPEP.NTRK3","hPEP.NTRK3","PEP"
"Neuron671","pbmc3k",6772,71,"0","0","hNP1","hNP1","NP"
"Neuron673","pbmc3k",10213,73,"13","13","hAd.LTMR","hAd.LTMR","NF"
"Neuron674","pbmc3k",6893,69,"0","0","hNP1","hNP1","NP"
"Neuron675","pbmc3k",5122,73,"7","7","hPEP.KIT","hPEP.KIT","PEP"
"Neuron676","pbmc3k",6256,69,"0","0","hNP1","hNP1","NP"
"Neuron677","pbmc3k",1064,51,"6","6","hAd.LTMR","hAd.LTMR","NF"
"Neuron678","pbmc3k",2391,55,"5","5","hNP1","hNP1","NP"
"Neuron680","pbmc3k",2304,65,"9","9","hPEP.CHRNA7","hPEP.CHRNA7","PEP"
"Neuron681","pbmc3k",1571,66,"14","14","hPEP0","hPEP.0","PEP"
"Neuron682","pbmc3k",488,42,"13","13","hAd.LTMR","hAd.LTMR","NF"
"Neuron683","pbmc3k",5199,64,"2","2","hPEP.TRPV1/A1.1","hPEP.TRPV1/A1.1","PEP"
"Neuron684","pbmc3k",12507,71,"13","13","hAd.LTMR","hAd.LTMR","NF"
"Neuron685","pbmc3k",5341,72,"0","0","hNP1","hNP1","NP"
"Neuron686","pbmc3k",6065,65,"13","13","hAd.LTMR","hAd.LTMR","NF"
"Neuron687","pbmc3k",8491,78,"5","5","hNP1","hNP1","NP"
"Neuron688","pbmc3k",1439,61,"0","0","hNP1","hNP1","NP"
"Neuron689","pbmc3k",6636,73,"5","5","hNP1","hNP1","NP"
"Neuron690","pbmc3k",10570,72,"0","0","hNP1","hNP1","NP"
"Neuron691","pbmc3k",4425,71,"5","5","hNP1","hNP1","NP"
"Neuron692","pbmc3k",2327,60,"3","3","hSST","hSST","NP"
"Neuron693","pbmc3k",4957,70,"3","3","hSST","hSST","NP"
"Neuron694","pbmc3k",3681,72,"5","5","hNP1","hNP1","NP"
"Neuron695","pbmc3k",6512,72,"0","0","hNP1","hNP1","NP"
"Neuron696","pbmc3k",5853,73,"3","3","hSST","hSST","NP"
"Neuron697","pbmc3k",19155,80,"13","13","hAd.LTMR","hAd.LTMR","NF"
"Neuron698","pbmc3k",6438,68,"13","13","hAd.LTMR","hAd.LTMR","NF"
"Neuron699","pbmc3k",4176,69,"3","3","hSST","hSST","NP"
"Neuron700","pbmc3k",368,50,"9","9","hPEP.CHRNA7","hPEP.CHRNA7","PEP"
"Neuron701","pbmc3k",527,43,"9","9","hPEP.CHRNA7","hPEP.CHRNA7","PEP"
"Neuron702","pbmc3k",431,47,"9","9","hPEP.CHRNA7","hPEP.CHRNA7","PEP"
"Neuron703","pbmc3k",2387,64,"5","5","hNP1","hNP1","NP"
"Neuron704","pbmc3k",1000,56,"1","1","hPEP.TRPV1/A1.2","hPEP.TRPV1/A1.2","PEP"
"Neuron705","pbmc3k",327,51,"0","0","hNP1","hNP1","NP"
"Neuron706","pbmc3k",1711,74,"6","6","hAd.LTMR","hAd.LTMR","NF"
"Neuron707","pbmc3k",1446,53,"13","13","hAd.LTMR","hAd.LTMR","NF"
"Neuron708","pbmc3k",2527,70,"5","5","hNP1","hNP1","NP"
"Neuron709","pbmc3k",4027,61,"2","2","hPEP.TRPV1/A1.1","hPEP.TRPV1/A1.1","PEP"
"Neuron710","pbmc3k",2698,71,"16","16","hTRPM8","hTRPM8","TRPM8"
"Neuron711","pbmc3k",7434,73,"0","0","hNP1","hNP1","NP"
"Neuron712","pbmc3k",458,52,"16","16","hTRPM8","hTRPM8","TRPM8"
"Neuron713","pbmc3k",366,51,"5","5","hNP1","hNP1","NP"
"Neuron714","pbmc3k",121,27,"13","13","hAd.LTMR","hAd.LTMR","NF"
"Neuron715","pbmc3k",226,31,"12","12","hPropr","hPropr","NF"
"Neuron716","pbmc3k",2176,68,"9","9","hPEP.CHRNA7","hPEP.CHRNA7","PEP"
"Neuron717","pbmc3k",1060,63,"15","15","hNP2","hNP2","NP"
"Neuron718","pbmc3k",814,67,"3","3","hSST","hSST","NP"
"Neuron719","pbmc3k",3066,66,"6","6","hAd.LTMR","hAd.LTMR","NF"
"Neuron720","pbmc3k",227,43,"5","5","hNP1","hNP1","NP"
"Neuron721","pbmc3k",2830,73,"5","5","hNP1","hNP1","NP"
"Neuron722","pbmc3k",7701,72,"0","0","hNP1","hNP1","NP"
"Neuron723","pbmc3k",7840,74,"0","0","hNP1","hNP1","NP"
"Neuron724","pbmc3k",8516,76,"4","4","hPEP.PIEZOh","hPEP.PIEZOh","PEP"
"Neuron725","pbmc3k",10601,76,"0","0","hNP1","hNP1","NP"
"Neuron726","pbmc3k",8390,75,"0","0","hNP1","hNP1","NP"
"Neuron727","pbmc3k",1045,63,"4","4","hPEP.PIEZOh","hPEP.PIEZOh","PEP"
"Neuron728","pbmc3k",304,44,"14","14","hPEP0","hPEP.0","PEP"
"Neuron729","pbmc3k",2949,71,"4","4","hPEP.PIEZOh","hPEP.PIEZOh","PEP"
"Neuron730","pbmc3k",202,41,"9","9","hPEP.CHRNA7","hPEP.CHRNA7","PEP"
"Neuron731","pbmc3k",4431,68,"10","10","hPEP.NTRK3","hPEP.NTRK3","PEP"
"Neuron732","pbmc3k",11634,70,"6","6","hAd.LTMR","hAd.LTMR","NF"
"Neuron733","pbmc3k",2863,68,"14","14","hPEP0","hPEP.0","PEP"
"Neuron734","pbmc3k",526,53,"0","0","hNP1","hNP1","NP"
"Neuron735","pbmc3k",5184,70,"10","10","hPEP.NTRK3","hPEP.NTRK3","PEP"
