"","orig.ident","nCount_RNA","nFeature_RNA","cell_id","donor","level","Xenium_id","RNA_snn_res.2.5","seurat_clusters","cell_type","cell_type_manual","large_group"
"Neuron94","pbmc3k",9492,71,"14995-06683","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","9","9","hPEP.CHRNA7","hPEP.CHRNA7","PEP"
"Neuron95","pbmc3k",3878,68,"14962-06416","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","2","2","hPEP.TRPV1/A1.1","hPEP.TRPV1/A1.1","PEP"
"Neuron96","pbmc3k",7551,72,"14954-05901","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","8","8","hAb.LTMR","hAb.LTMR","NF"
"Neuron97","pbmc3k",2686,69,"14370-05725","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","0","0","hNP1","hNP1","NP"
"Neuron98","pbmc3k",7531,77,"13997-05936","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","9","9","hPEP.CHRNA7","hPEP.CHRNA7","PEP"
"Neuron99","pbmc3k",11379,67,"13672-06312","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","13","13","hAd.LTMR","hAd.LTMR","NF"
"Neuron100","pbmc3k",432,47,"13526-05968","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","0","0","hNP1","hNP1","NP"
"Neuron101","pbmc3k",1108,50,"13016-05357","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","16","16","hTRPM8","hTRPM8","NP"
"Neuron102","pbmc3k",7988,71,"12805-05565","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","10","10","hPEP.NTRK3","hPEP.NTRK3","PEP"
"Neuron103","pbmc3k",5089,68,"14511-08158","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","4","4","hPEP.PIEZOh","hPEP.PIEZOh","PEP"
"Neuron104","pbmc3k",5071,70,"14793-08307","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","7","7","hPEP.KIT","hPEP.KIT","PEP"
"Neuron105","pbmc3k",683,53,"14475-08531","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","0","0","hNP1","hNP1","NP"
"Neuron106","pbmc3k",2771,61,"14608-08600","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","2","2","hPEP.TRPV1/A1.1","hPEP.TRPV1/A1.1","PEP"
"Neuron107","pbmc3k",250,44,"14339-09041","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","14","14","hPEP.0","hPEP.0","PEP"
"Neuron108","pbmc3k",8009,65,"14642-09267","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","13","13","hAd.LTMR","hAd.LTMR","NF"
