"","orig.ident","nCount_RNA","nFeature_RNA","cell_id","donor","level","Xenium_id","RNA_snn_res.2.5","seurat_clusters","cell_type","cell_type_manual","large_group"
"Neuron357","pbmc3k",10441,74,"06602-13749","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","10","10","hPEP.NTRK3","hPEP.NTRK3","PEP"
"Neuron358","pbmc3k",2513,68,"06771-14132","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","16","16","hTRPM8","hTRPM8","NP"
"Neuron359","pbmc3k",8653,68,"06227-13308","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","12","12","hPropr","hPropr","NF"
"Neuron360","pbmc3k",8877,75,"05762-13220","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","9","9","hPEP.CHRNA7","hPEP.CHRNA7","PEP"
"Neuron361","pbmc3k",102,23,"05632-12716","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","11","11","unidentified","unidentified","NF"
"Neuron362","pbmc3k",556,48,"05928-12344","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","6","6","hAd.LTMR","hAd.LTMR","NF"
"Neuron363","pbmc3k",6152,72,"04518-12937","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","12","12","hPropr","hPropr","NF"
"Neuron364","pbmc3k",6965,72,"04818-13673","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","9","9","hPEP.CHRNA7","hPEP.CHRNA7","PEP"
"Neuron365","pbmc3k",5832,64,"05137-13633","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","12","12","hPropr","hPropr","NF"
"Neuron366","pbmc3k",3589,62,"05053-14077","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","12","12","hPropr","hPropr","NF"
"Neuron367","pbmc3k",362,48,"05553-14287","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","5","5","hNP1","hNP1","C.LTMR"
"Neuron368","pbmc3k",1255,60,"05525-14129","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","16","16","hTRPM8","hTRPM8","NP"
"Neuron369","pbmc3k",1082,55,"05298-14231","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","6","6","hAd.LTMR","hAd.LTMR","NF"
"Neuron370","pbmc3k",2307,58,"06256-14068","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","2","2","hPEP.TRPV1/A1.1","hPEP.TRPV1/A1.1","PEP"
"Neuron371","pbmc3k",1093,49,"06382-14335","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","8","8","hAb.LTMR","hAb.LTMR","NF"
"Neuron372","pbmc3k",1643,58,"06023-14591","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","9","9","hPEP.CHRNA7","hPEP.CHRNA7","PEP"
"Neuron373","pbmc3k",4909,68,"05995-14381","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","3","3","hSST","hSST","NP"
"Neuron374","pbmc3k",5378,72,"05819-14507","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","6","6","hAd.LTMR","hAd.LTMR","NF"
"Neuron375","pbmc3k",4395,68,"05471-14747","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","9","9","hPEP.CHRNA7","hPEP.CHRNA7","PEP"
"Neuron376","pbmc3k",272,36,"05733-14931","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","9","9","hPEP.CHRNA7","hPEP.CHRNA7","PEP"
"Neuron377","pbmc3k",5945,63,"06209-15926","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","8","8","hAb.LTMR","hAb.LTMR","NF"
"Neuron378","pbmc3k",4535,59,"06525-16490","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","13","13","hAd.LTMR","hAd.LTMR","NF"
"Neuron379","pbmc3k",1888,68,"04362-15201","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","3","3","hSST","hSST","NP"
"Neuron380","pbmc3k",8910,76,"03993-14444","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","10","10","hPEP.NTRK3","hPEP.NTRK3","PEP"
"Neuron381","pbmc3k",5690,71,"04149-14297","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","2","2","hPEP.TRPV1/A1.1","hPEP.TRPV1/A1.1","PEP"
"Neuron382","pbmc3k",5265,68,"03959-13928","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","6","6","hAd.LTMR","hAd.LTMR","NF"
"Neuron383","pbmc3k",3177,62,"03897-13632","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","6","6","hAd.LTMR","hAd.LTMR","NF"
"Neuron384","pbmc3k",3485,64,"03922-13416","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","2","2","hPEP.TRPV1/A1.1","hPEP.TRPV1/A1.1","PEP"
"Neuron385","pbmc3k",14551,76,"03565-14028","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","10","10","hPEP.NTRK3","hPEP.NTRK3","PEP"
"Neuron386","pbmc3k",7363,64,"03522-14652","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","8","8","hAb.LTMR","hAb.LTMR","NF"
"Neuron387","pbmc3k",2620,60,"03206-14125","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","3","3","hSST","hSST","NP"
"Neuron388","pbmc3k",3021,67,"03038-14127","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","10","10","hPEP.NTRK3","hPEP.NTRK3","PEP"
"Neuron389","pbmc3k",8540,72,"03510-13417","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","9","9","hPEP.CHRNA7","hPEP.CHRNA7","PEP"
"Neuron390","pbmc3k",13333,75,"03057-13516","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","8","8","hAb.LTMR","hAb.LTMR","NF"
"Neuron391","pbmc3k",6715,73,"03085-13248","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","9","9","hPEP.CHRNA7","hPEP.CHRNA7","PEP"
"Neuron392","pbmc3k",5420,67,"03471-13228","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","2","2","hPEP.TRPV1/A1.1","hPEP.TRPV1/A1.1","PEP"
"Neuron393","pbmc3k",8254,77,"03169-13076","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","0","0","hNP1","hNP1","NP"
"Neuron394","pbmc3k",5449,75,"02788-13096","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","4","4","hPEP.PIEZOh","hPEP.PIEZOh","PEP"
"Neuron395","pbmc3k",3638,72,"02775-12748","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","0","0","hNP1","hNP1","NP"
"Neuron396","pbmc3k",6321,73,"02680-12835","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","3","3","hSST","hSST","NP"
"Neuron397","pbmc3k",6581,74,"03051-12749","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","3","3","hSST","hSST","NP"
"Neuron398","pbmc3k",6301,76,"03467-13041","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","3","3","hSST","hSST","NP"
"Neuron399","pbmc3k",2782,71,"03599-12962","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","0","0","hNP1","hNP1","NP"
"Neuron400","pbmc3k",1620,69,"03879-12997","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","16","16","hTRPM8","hTRPM8","NP"
"Neuron401","pbmc3k",1651,65,"03854-12662","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","3","3","hSST","hSST","NP"
"Neuron402","pbmc3k",10532,77,"03581-12700","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","7","7","hPEP.KIT","hPEP.KIT","PEP"
"Neuron403","pbmc3k",11986,75,"03387-12418","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","4","4","hPEP.PIEZOh","hPEP.PIEZOh","PEP"
"Neuron404","pbmc3k",1935,68,"03184-11920","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","3","3","hSST","hSST","NP"
"Neuron405","pbmc3k",1024,48,"03300-11966","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","3","3","hSST","hSST","NP"
"Neuron406","pbmc3k",526,54,"03349-12079","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","9","9","hPEP.CHRNA7","hPEP.CHRNA7","PEP"
"Neuron407","pbmc3k",763,58,"03002-11753","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","4","4","hPEP.PIEZOh","hPEP.PIEZOh","PEP"
"Neuron408","pbmc3k",7424,81,"03702-12150","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","3","3","hSST","hSST","NP"
"Neuron409","pbmc3k",6711,66,"03822-11869","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","0","0","hNP1","hNP1","NP"
"Neuron410","pbmc3k",5797,73,"03580-11722","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","9","9","hPEP.CHRNA7","hPEP.CHRNA7","PEP"
"Neuron411","pbmc3k",6183,73,"03794-11498","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","15","15","hNP2","hNP2","NP"
"Neuron412","pbmc3k",5249,71,"03618-11290","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","7","7","hPEP.KIT","hPEP.KIT","PEP"
"Neuron413","pbmc3k",487,48,"03281-11584","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","2","2","hPEP.TRPV1/A1.1","hPEP.TRPV1/A1.1","PEP"
"Neuron414","pbmc3k",4554,76,"03435-10956","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","4","4","hPEP.PIEZOh","hPEP.PIEZOh","PEP"
"Neuron415","pbmc3k",1676,55,"03759-10964","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","7","7","hPEP.KIT","hPEP.KIT","PEP"
"Neuron416","pbmc3k",833,55,"03586-11013","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","11","11","unidentified","unidentified","NF"
"Neuron417","pbmc3k",9644,79,"03758-10569","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","9","9","hPEP.CHRNA7","hPEP.CHRNA7","PEP"
"Neuron418","pbmc3k",5881,76,"03722-10284","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","15","15","hNP2","hNP2","NP"
"Neuron419","pbmc3k",5794,70,"04047-10177","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","7","7","hPEP.KIT","hPEP.KIT","PEP"
"Neuron420","pbmc3k",1155,65,"03259-10295","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","15","15","hNP2","hNP2","NP"
"Neuron421","pbmc3k",2026,66,"03492-10298","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","4","4","hPEP.PIEZOh","hPEP.PIEZOh","PEP"
"Neuron422","pbmc3k",1722,57,"03544-10140","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","3","3","hSST","hSST","NP"
"Neuron423","pbmc3k",5713,72,"03442-09910","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","4","4","hPEP.PIEZOh","hPEP.PIEZOh","PEP"
"Neuron424","pbmc3k",3682,74,"03890-09915","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","12","12","hPropr","hPropr","NF"
"Neuron425","pbmc3k",4789,69,"04122-09846","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","1","1","hPEP.TRPV1/A1.2","hPEP.TRPV1/A1.2","PEP"
"Neuron426","pbmc3k",1967,60,"04148-09695","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","3","3","hSST","hSST","NP"
"Neuron427","pbmc3k",9384,75,"04265-09428","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","6","6","hAd.LTMR","hAd.LTMR","NF"
"Neuron428","pbmc3k",4320,73,"04324-09150","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","3","3","hSST","hSST","NP"
"Neuron429","pbmc3k",6117,77,"03907-09486","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","1","1","hPEP.TRPV1/A1.2","hPEP.TRPV1/A1.2","PEP"
"Neuron430","pbmc3k",7084,79,"03668-09587","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","3","3","hSST","hSST","NP"
"Neuron431","pbmc3k",8546,78,"03533-09404","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","9","9","hPEP.CHRNA7","hPEP.CHRNA7","PEP"
"Neuron432","pbmc3k",10598,70,"03794-09082","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","8","8","hAb.LTMR","hAb.LTMR","NF"
"Neuron433","pbmc3k",370,52,"03647-09132","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","11","11","unidentified","unidentified","NF"
"Neuron434","pbmc3k",5971,65,"03747-08657","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","10","10","hPEP.NTRK3","hPEP.NTRK3","PEP"
"Neuron435","pbmc3k",2134,60,"03950-08337","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","12","12","hPropr","hPropr","NF"
"Neuron436","pbmc3k",415,50,"04366-08182","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","14","14","hPEP.0","hPEP.0","PEP"
"Neuron437","pbmc3k",3821,66,"XETG00171__0018220_DRG-Region_2_RoiSet_real_size.zip","N4","L3","output-XETG00171__0018220__Region_2__20240207__003742","8","8","hAb.LTMR","hAb.LTMR","NF"
"Neuron438","pbmc3k",2785,62,"03312-02030","N4","L3","output-XETG00171__0018220__Region_2__20240207__003742","11","11","unidentified","unidentified","NF"
"Neuron439","pbmc3k",7430,75,"03691-02313","N4","L3","output-XETG00171__0018220__Region_2__20240207__003742","10","10","hPEP.NTRK3","hPEP.NTRK3","PEP"
"Neuron440","pbmc3k",16078,75,"03861-02758","N4","L3","output-XETG00171__0018220__Region_2__20240207__003742","8","8","hAb.LTMR","hAb.LTMR","NF"
"Neuron441","pbmc3k",4384,63,"04053-03203","N4","L3","output-XETG00171__0018220__Region_2__20240207__003742","12","12","hPropr","hPropr","NF"
"Neuron442","pbmc3k",5295,71,"03875-03303","N4","L3","output-XETG00171__0018220__Region_2__20240207__003742","6","6","hAd.LTMR","hAd.LTMR","NF"
"Neuron443","pbmc3k",3707,69,"04086-03508","N4","L3","output-XETG00171__0018220__Region_2__20240207__003742","3","3","hSST","hSST","NP"
"Neuron444","pbmc3k",239,34,"04009-03612","N4","L3","output-XETG00171__0018220__Region_2__20240207__003742","11","11","unidentified","unidentified","NF"
"Neuron445","pbmc3k",4048,72,"04209-03888","N4","L3","output-XETG00171__0018220__Region_2__20240207__003742","3","3","hSST","hSST","NP"
"Neuron446","pbmc3k",8716,82,"04072-03937","N4","L3","output-XETG00171__0018220__Region_2__20240207__003742","9","9","hPEP.CHRNA7","hPEP.CHRNA7","PEP"
"Neuron447","pbmc3k",4081,68,"03787-03804","N4","L3","output-XETG00171__0018220__Region_2__20240207__003742","11","11","unidentified","unidentified","NF"
"Neuron448","pbmc3k",4074,69,"03476-03904","N4","L3","output-XETG00171__0018220__Region_2__20240207__003742","15","15","hNP2","hNP2","NP"
"Neuron449","pbmc3k",13246,74,"03171-03376","N4","L3","output-XETG00171__0018220__Region_2__20240207__003742","10","10","hPEP.NTRK3","hPEP.NTRK3","PEP"
"Neuron450","pbmc3k",3109,60,"03083-03738","N4","L3","output-XETG00171__0018220__Region_2__20240207__003742","11","11","unidentified","unidentified","NF"
"Neuron451","pbmc3k",1894,60,"02794-04064","N4","L3","output-XETG00171__0018220__Region_2__20240207__003742","3","3","hSST","hSST","NP"
"Neuron452","pbmc3k",7136,64,"02372-03608","N4","L3","output-XETG00171__0018220__Region_2__20240207__003742","13","13","hAd.LTMR","hAd.LTMR","NF"
"Neuron453","pbmc3k",579,48,"02069-03389","N4","L3","output-XETG00171__0018220__Region_2__20240207__003742","9","9","hPEP.CHRNA7","hPEP.CHRNA7","PEP"
"Neuron454","pbmc3k",9213,78,"02649-04619","N4","L3","output-XETG00171__0018220__Region_2__20240207__003742","10","10","hPEP.NTRK3","hPEP.NTRK3","PEP"
"Neuron455","pbmc3k",5309,62,"03899-05133","N4","L3","output-XETG00171__0018220__Region_2__20240207__003742","12","12","hPropr","hPropr","NF"
"Neuron456","pbmc3k",6916,72,"03287-06528","N4","L3","output-XETG00171__0018220__Region_2__20240207__003742","15","15","hNP2","hNP2","NP"
"Neuron457","pbmc3k",966,48,"02871-06825","N4","L3","output-XETG00171__0018220__Region_2__20240207__003742","11","11","unidentified","unidentified","NF"
"Neuron458","pbmc3k",14963,70,"02501-06701","N4","L3","output-XETG00171__0018220__Region_2__20240207__003742","10","10","hPEP.NTRK3","hPEP.NTRK3","PEP"
"Neuron459","pbmc3k",6524,67,"04091-07375","N4","L3","output-XETG00171__0018220__Region_2__20240207__003742","6","6","hAd.LTMR","hAd.LTMR","NF"
"Neuron460","pbmc3k",7059,64,"04467-07581","N4","L3","output-XETG00171__0018220__Region_2__20240207__003742","12","12","hPropr","hPropr","NF"
"Neuron461","pbmc3k",358,49,"04811-06586","N4","L3","output-XETG00171__0018220__Region_2__20240207__003742","0","0","hNP1","hNP1","NP"
"Neuron462","pbmc3k",4049,66,"05551-05763","N4","L3","output-XETG00171__0018220__Region_2__20240207__003742","6","6","hAd.LTMR","hAd.LTMR","NF"
"Neuron463","pbmc3k",16011,75,"05732-06024","N4","L3","output-XETG00171__0018220__Region_2__20240207__003742","8","8","hAb.LTMR","hATF3","NF"
"Neuron464","pbmc3k",3650,67,"05384-06009","N4","L3","output-XETG00171__0018220__Region_2__20240207__003742","3","3","hSST","hSST","NP"
"Neuron465","pbmc3k",3843,71,"05428-06195","N4","L3","output-XETG00171__0018220__Region_2__20240207__003742","6","6","hAd.LTMR","hAd.LTMR","NF"
"Neuron466","pbmc3k",2205,59,"05545-06312","N4","L3","output-XETG00171__0018220__Region_2__20240207__003742","6","6","hAd.LTMR","hAd.LTMR","NF"
"Neuron467","pbmc3k",1163,61,"05435-06436","N4","L3","output-XETG00171__0018220__Region_2__20240207__003742","5","5","hNP1","hNP1","C.LTMR"
"Neuron468","pbmc3k",509,49,"05387-06341","N4","L3","output-XETG00171__0018220__Region_2__20240207__003742","13","13","hAd.LTMR","hAd.LTMR","NF"
"Neuron469","pbmc3k",7873,79,"05261-06435","N4","L3","output-XETG00171__0018220__Region_2__20240207__003742","5","5","hNP1","hNP1","C.LTMR"
"Neuron470","pbmc3k",2719,68,"05176-06486","N4","L3","output-XETG00171__0018220__Region_2__20240207__003742","0","0","hNP1","hNP1","NP"
"Neuron471","pbmc3k",299,49,"05291-06586","N4","L3","output-XETG00171__0018220__Region_2__20240207__003742","0","0","hNP1","hNP1","NP"
"Neuron472","pbmc3k",8964,73,"05398-06717","N4","L3","output-XETG00171__0018220__Region_2__20240207__003742","0","0","hNP1","hNP1","NP"
"Neuron473","pbmc3k",465,53,"05259-06748","N4","L3","output-XETG00171__0018220__Region_2__20240207__003742","0","0","hNP1","hNP1","NP"
"Neuron474","pbmc3k",766,50,"05328-06915","N4","L3","output-XETG00171__0018220__Region_2__20240207__003742","6","6","hAd.LTMR","hAd.LTMR","NF"
"Neuron475","pbmc3k",6996,69,"05867-06622","N4","L3","output-XETG00171__0018220__Region_2__20240207__003742","0","0","hNP1","hNP1","NP"
"Neuron476","pbmc3k",10534,76,"06101-06935","N4","L3","output-XETG00171__0018220__Region_2__20240207__003742","10","10","hPEP.NTRK3","hPEP.NTRK3","PEP"
"Neuron477","pbmc3k",533,54,"06367-06977","N4","L3","output-XETG00171__0018220__Region_2__20240207__003742","9","9","hPEP.CHRNA7","hPEP.CHRNA7","PEP"
"Neuron478","pbmc3k",9150,66,"06268-07281","N4","L3","output-XETG00171__0018220__Region_2__20240207__003742","13","13","hAd.LTMR","hAd.LTMR","NF"
"Neuron479","pbmc3k",10179,77,"06038-07530","N4","L3","output-XETG00171__0018220__Region_2__20240207__003742","15","15","hNP2","hNP2","NP"
"Neuron480","pbmc3k",7009,70,"05922-07859","N4","L3","output-XETG00171__0018220__Region_2__20240207__003742","0","0","hNP1","hNP1","NP"
"Neuron481","pbmc3k",1303,52,"06007-08090","N4","L3","output-XETG00171__0018220__Region_2__20240207__003742","12","12","hPropr","hPropr","NF"
"Neuron482","pbmc3k",4914,75,"06285-08162","N4","L3","output-XETG00171__0018220__Region_2__20240207__003742","15","15","hNP2","hNP2","NP"
"Neuron483","pbmc3k",441,50,"06732-08093","N4","L3","output-XETG00171__0018220__Region_2__20240207__003742","11","11","unidentified","unidentified","NF"
"Neuron484","pbmc3k",4808,76,"05824-08260","N4","L3","output-XETG00171__0018220__Region_2__20240207__003742","15","15","hNP2","hNP2","NP"
"Neuron485","pbmc3k",5404,72,"05826-08526","N4","L3","output-XETG00171__0018220__Region_2__20240207__003742","0","0","hNP1","hNP1","NP"
"Neuron486","pbmc3k",5940,75,"06030-08996","N4","L3","output-XETG00171__0018220__Region_2__20240207__003742","3","3","hSST","hSST","NP"
"Neuron487","pbmc3k",4965,77,"05903-08752","N4","L3","output-XETG00171__0018220__Region_2__20240207__003742","12","12","hPropr","hPropr","NF"
"Neuron488","pbmc3k",5421,79,"05821-08979","N4","L3","output-XETG00171__0018220__Region_2__20240207__003742","5","5","hNP1","hNP1","C.LTMR"
"Neuron489","pbmc3k",994,61,"05670-09131","N4","L3","output-XETG00171__0018220__Region_2__20240207__003742","4","4","hPEP.PIEZOh","hPEP.PIEZOh","PEP"
"Neuron490","pbmc3k",986,58,"05652-08901","N4","L3","output-XETG00171__0018220__Region_2__20240207__003742","10","10","hPEP.NTRK3","hPEP.NTRK3","PEP"
"Neuron491","pbmc3k",3219,74,"05562-08836","N4","L3","output-XETG00171__0018220__Region_2__20240207__003742","5","5","hNP1","hNP1","C.LTMR"
"Neuron492","pbmc3k",7896,81,"05447-08951","N4","L3","output-XETG00171__0018220__Region_2__20240207__003742","5","5","hNP1","hNP1","C.LTMR"
"Neuron493","pbmc3k",3488,60,"05295-08556","N4","L3","output-XETG00171__0018220__Region_2__20240207__003742","2","2","hPEP.TRPV1/A1.1","hPEP.TRPV1/A1.1","PEP"
"Neuron494","pbmc3k",775,61,"05150-08664","N4","L3","output-XETG00171__0018220__Region_2__20240207__003742","5","5","hNP1","hNP1","C.LTMR"
"Neuron495","pbmc3k",1916,73,"05098-08884","N4","L3","output-XETG00171__0018220__Region_2__20240207__003742","5","5","hNP1","hNP1","C.LTMR"
"Neuron496","pbmc3k",3236,62,"04469-08706","N4","L3","output-XETG00171__0018220__Region_2__20240207__003742","1","1","hPEP.TRPV1/A1.2","hPEP.TRPV1/A1.2","PEP"
"Neuron497","pbmc3k",4697,55,"04537-09014","N4","L3","output-XETG00171__0018220__Region_2__20240207__003742","13","13","hAd.LTMR","hAd.LTMR","NF"
"Neuron498","pbmc3k",2813,67,"04700-09357","N4","L3","output-XETG00171__0018220__Region_2__20240207__003742","10","10","hPEP.NTRK3","hPEP.NTRK3","PEP"
"Neuron499","pbmc3k",1549,62,"04326-09297","N4","L3","output-XETG00171__0018220__Region_2__20240207__003742","3","3","hSST","hSST","NP"
"Neuron500","pbmc3k",4854,72,"04347-09590","N4","L3","output-XETG00171__0018220__Region_2__20240207__003742","5","5","hNP1","hNP1","C.LTMR"
"Neuron501","pbmc3k",681,59,"04519-09572","N4","L3","output-XETG00171__0018220__Region_2__20240207__003742","11","11","unidentified","unidentified","NF"
"Neuron502","pbmc3k",9111,73,"04521-09983","N4","L3","output-XETG00171__0018220__Region_2__20240207__003742","0","0","hNP1","hNP1","NP"
"Neuron503","pbmc3k",3217,66,"05194-09788","N4","L3","output-XETG00171__0018220__Region_2__20240207__003742","0","0","hNP1","hNP1","NP"
"Neuron504","pbmc3k",2041,68,"05192-10096","N4","L3","output-XETG00171__0018220__Region_2__20240207__003742","16","16","hTRPM8","hTRPM8","NP"
"Neuron505","pbmc3k",791,67,"05154-09960","N4","L3","output-XETG00171__0018220__Region_2__20240207__003742","5","5","hNP1","hNP1","C.LTMR"
"Neuron506","pbmc3k",4144,71,"04886-10571","N4","L3","output-XETG00171__0018220__Region_2__20240207__003742","15","15","hNP2","hNP2","NP"
"Neuron507","pbmc3k",5965,75,"05128-10698","N4","L3","output-XETG00171__0018220__Region_2__20240207__003742","0","0","hNP1","hNP1","NP"
"Neuron508","pbmc3k",3022,62,"04921-10941","N4","L3","output-XETG00171__0018220__Region_2__20240207__003742","2","2","hPEP.TRPV1/A1.1","hPEP.TRPV1/A1.1","PEP"
"Neuron509","pbmc3k",2309,74,"05229-11024","N4","L3","output-XETG00171__0018220__Region_2__20240207__003742","15","15","hNP2","hNP2","NP"
"Neuron510","pbmc3k",5919,75,"05377-10810","N4","L3","output-XETG00171__0018220__Region_2__20240207__003742","0","0","hNP1","hNP1","NP"
"Neuron511","pbmc3k",3209,66,"05562-10770","N4","L3","output-XETG00171__0018220__Region_2__20240207__003742","1","1","hPEP.TRPV1/A1.2","hPEP.TRPV1/A1.2","PEP"
"Neuron512","pbmc3k",5215,77,"05557-10996","N4","L3","output-XETG00171__0018220__Region_2__20240207__003742","3","3","hSST","hSST","NP"
"Neuron513","pbmc3k",8443,75,"05435-11169","N4","L3","output-XETG00171__0018220__Region_2__20240207__003742","3","3","hSST","hSST","NP"
"Neuron514","pbmc3k",9501,76,"05081-11282","N4","L3","output-XETG00171__0018220__Region_2__20240207__003742","5","5","hNP1","hNP1","C.LTMR"
"Neuron515","pbmc3k",5322,68,"05656-11290","N4","L3","output-XETG00171__0018220__Region_2__20240207__003742","1","1","hPEP.TRPV1/A1.2","hPEP.TRPV1/A1.2","PEP"
"Neuron516","pbmc3k",6032,70,"05923-11038","N4","L3","output-XETG00171__0018220__Region_2__20240207__003742","6","6","hAd.LTMR","hAd.LTMR","NF"
"Neuron517","pbmc3k",12227,72,"05996-11314","N4","L3","output-XETG00171__0018220__Region_2__20240207__003742","10","10","hPEP.NTRK3","hPEP.NTRK3","PEP"
"Neuron518","pbmc3k",11924,69,"05757-11754","N4","L3","output-XETG00171__0018220__Region_2__20240207__003742","6","6","hAd.LTMR","hAd.LTMR","NF"
"Neuron519","pbmc3k",523,39,"05513-11890","N4","L3","output-XETG00171__0018220__Region_2__20240207__003742","13","13","hAd.LTMR","hAd.LTMR","NF"
"Neuron520","pbmc3k",1076,59,"05487-12165","N4","L3","output-XETG00171__0018220__Region_2__20240207__003742","3","3","hSST","hSST","NP"
"Neuron521","pbmc3k",6810,77,"06046-11658","N4","L3","output-XETG00171__0018220__Region_2__20240207__003742","0","0","hNP1","hNP1","NP"
"Neuron522","pbmc3k",9389,74,"06272-11715","N4","L3","output-XETG00171__0018220__Region_2__20240207__003742","9","9","hPEP.CHRNA7","hPEP.CHRNA7","PEP"
"Neuron523","pbmc3k",4115,75,"06674-09686","N4","L3","output-XETG00171__0018220__Region_2__20240207__003742","1","1","hPEP.TRPV1/A1.2","hPEP.TRPV1/A1.2","PEP"
"Neuron524","pbmc3k",1342,64,"06493-09703","N4","L3","output-XETG00171__0018220__Region_2__20240207__003742","1","1","hPEP.TRPV1/A1.2","hPEP.TRPV1/A1.2","PEP"
"Neuron525","pbmc3k",3919,76,"06689-09979","N4","L3","output-XETG00171__0018220__Region_2__20240207__003742","10","10","hPEP.NTRK3","hPEP.NTRK3","PEP"
"Neuron526","pbmc3k",2539,69,"06838-09817","N4","L3","output-XETG00171__0018220__Region_2__20240207__003742","3","3","hSST","hSST","NP"
"Neuron527","pbmc3k",4696,73,"06958-10037","N4","L3","output-XETG00171__0018220__Region_2__20240207__003742","9","9","hPEP.CHRNA7","hPEP.CHRNA7","PEP"
"Neuron528","pbmc3k",7281,73,"06832-10244","N4","L3","output-XETG00171__0018220__Region_2__20240207__003742","9","9","hPEP.CHRNA7","hPEP.CHRNA7","PEP"
