,orig.ident,nCount_RNA,nFeature_RNA,seurat_clusters,donor,batch,location,level,cl.conserv_final,sample_id
N2-RT12-80,SeuratProject,72615,6288,3,N2,1,thoracic 12,thoracic,Ab.LTMR,N2-RT12-80
N2-RT12-81,SeuratProject,128050,8299,7,N2,1,thoracic 12,thoracic,Ab.LTMR,N2-RT12-81
N2-RT12-82,SeuratProject,66862,5123,3,N2,1,thoracic 12,thoracic,PEP.H0,N2-RT12-82
N2-RT12-83,SeuratProject,159843,7435,9,N2,1,thoracic 12,thoracic,PEP1.13,N2-RT12-83
N2-RT12-84,SeuratProject,418275,10853,12,N2,1,thoracic 12,thoracic,NP3,N2-RT12-84
N2-RT12-85,SeuratProject,101622,6001,3,N2,1,thoracic 12,thoracic,Ab.LTMR,N2-RT12-85
N2-RT12-86,SeuratProject,102181,4856,3,N2,1,thoracic 12,thoracic,PEP.H0,N2-RT12-86
N2-RT12-87,SeuratProject,97076,6474,7,N2,1,thoracic 12,thoracic,Ab.LTMR,N2-RT12-87
N2-RT12-88,SeuratProject,311232,10919,4,N2,1,thoracic 12,thoracic,PEP.H8,N2-RT12-88
N2-RT12-89,SeuratProject,161511,10318,10,N2,1,thoracic 12,thoracic,NP1,N2-RT12-89
N2-RT12-90,SeuratProject,202588,8138,2,N2,1,thoracic 12,thoracic,PEP.H0,N2-RT12-90
N2-RT12-91,SeuratProject,304749,11357,8,N2,1,thoracic 12,thoracic,PEP.H4,N2-RT12-91
N2-RT12-92,SeuratProject,346429,12112,6,N2,1,thoracic 12,thoracic,PEP.H5,N2-RT12-92
N2-RT12-93,SeuratProject,122505,5045,3,N2,1,thoracic 12,thoracic,PEP.H0,N2-RT12-93
N2-RT12-94,SeuratProject,282296,10643,5,N2,1,thoracic 12,thoracic,Ab.LTMR,N2-RT12-94
N2-RT12-95,SeuratProject,67081,6374,9,N2,1,thoracic 12,thoracic,PEP1.13,N2-RT12-95
N2-RT12-96,SeuratProject,1319704,13519,8,N2,1,thoracic 12,thoracic,PEP.H4,N2-RT12-96
N2-RT12-97,SeuratProject,306682,11899,15,N2,2,thoracic 12,thoracic,PEP.H4.15,N2-RT12-97
N2-RT12-98,SeuratProject,247520,11795,10,N2,2,thoracic 12,thoracic,NP1,N2-RT12-98
N2-RT12-99,SeuratProject,467161,13056,9,N2,2,thoracic 12,thoracic,PEP1.13,N2-RT12-99
N2-RT12-100,SeuratProject,462371,12865,13,N2,2,thoracic 12,thoracic,Ad.LTMR,N2-RT12-100
N2-RT12-101,SeuratProject,423399,12500,0,N2,2,thoracic 12,thoracic,Propr,N2-RT12-101
N2-RT12-102,SeuratProject,416167,11969,13,N2,2,thoracic 12,thoracic,Ad.LTMR,N2-RT12-102
N2-RT12-103,SeuratProject,100002,6329,2,N2,2,thoracic 12,thoracic,PEP.H0,N2-RT12-103
N2-RT12-104,SeuratProject,219051,9349,3,N2,2,thoracic 12,thoracic,TRPM8,N2-RT12-104
N2-RT12-105,SeuratProject,85966,7665,17,N2,2,thoracic 12,thoracic,C.LTMR,N2-RT12-105
N2-RT12-106,SeuratProject,193085,10510,10,N2,2,thoracic 12,thoracic,NP1,N2-RT12-106
N2-RT12-107,SeuratProject,291704,11125,12,N2,2,thoracic 12,thoracic,NP3,N2-RT12-107
N2-RT12-108,SeuratProject,124459,8609,14,N2,2,thoracic 12,thoracic,PEP3,N2-RT12-108
N2-RT12-109,SeuratProject,227747,11184,13,N2,2,thoracic 12,thoracic,Ad.LTMR,N2-RT12-109
N2-RT12-110,SeuratProject,139603,9995,16,N2,2,thoracic 12,thoracic,NP2,N2-RT12-110
N2-RT12-111,SeuratProject,232830,9346,2,N2,2,thoracic 12,thoracic,PEP.H0,N2-RT12-111
N2-RT12-112,SeuratProject,305574,11910,5,N2,2,thoracic 12,thoracic,Ab.LTMR,N2-RT12-112
N2-RT12-113,SeuratProject,110646,8373,6,N2,2,thoracic 12,thoracic,PEP.H5,N2-RT12-113
N2-RT12-114,SeuratProject,194708,11045,10,N2,2,thoracic 12,thoracic,NP1,N2-RT12-114
N2-RT12-115,SeuratProject,409903,11537,4,N2,2,thoracic 12,thoracic,PEP.H8,N2-RT12-115
N2-RT12-116,SeuratProject,346062,11692,6,N2,2,thoracic 12,thoracic,PEP.H5,N2-RT12-116
N2-RT12-117,SeuratProject,454228,11670,10,N2,2,thoracic 12,thoracic,NP1,N2-RT12-117
N2-RT12-118,SeuratProject,190724,8185,12,N2,2,thoracic 12,thoracic,NP3,N2-RT12-118
N2-RT12-119,SeuratProject,130742,8184,7,N2,2,thoracic 12,thoracic,Ab.LTMR,N2-RT12-119
N2-RT12-120,SeuratProject,318635,11455,8,N2,2,thoracic 12,thoracic,PEP.H4,N2-RT12-120
N2-RT12-121,SeuratProject,225407,10495,15,N2,2,thoracic 12,thoracic,PEP.H4.15,N2-RT12-121
N2-RT12-122,SeuratProject,168504,10204,10,N2,2,thoracic 12,thoracic,NP1,N2-RT12-122
N2-RT12-123,SeuratProject,106792,6819,12,N2,2,thoracic 12,thoracic,NP3,N2-RT12-123
N2-RT12-124,SeuratProject,97957,8474,12,N2,2,thoracic 12,thoracic,NP3,N2-RT12-124
N2-RT12-125,SeuratProject,224384,11402,16,N2,2,thoracic 12,thoracic,NP2,N2-RT12-125
N2-RT12-126,SeuratProject,185919,9613,0,N2,2,thoracic 12,thoracic,Propr,N2-RT12-126
N2-RT12-127,SeuratProject,287348,10655,9,N2,2,thoracic 12,thoracic,PEP1.13,N2-RT12-127
N2-RT12-128,SeuratProject,97369,7438,7,N2,2,thoracic 12,thoracic,Ab.LTMR,N2-RT12-128
N2-RT12-129,SeuratProject,251294,11225,9,N2,3,thoracic 12,thoracic,PEP1.13,N2-RT12-129
N2-RT12-130,SeuratProject,84575,7903,7,N2,3,thoracic 12,thoracic,Ab.LTMR,N2-RT12-130
N2-RT12-131,SeuratProject,327630,11338,0,N2,3,thoracic 12,thoracic,Propr,N2-RT12-131
N2-RT12-132,SeuratProject,199621,10957,12,N2,3,thoracic 12,thoracic,NP3,N2-RT12-132
N2-RT12-133,SeuratProject,56653,6251,1,N2,3,thoracic 12,thoracic,NP1,N2-RT12-133
N2-RT12-134,SeuratProject,228881,11288,15,N2,3,thoracic 12,thoracic,PEP.H4.15,N2-RT12-134
N2-RT12-135,SeuratProject,292097,11762,0,N2,3,thoracic 12,thoracic,Propr,N2-RT12-135
N2-RT12-136,SeuratProject,65888,7551,1,N2,3,thoracic 12,thoracic,NP1,N2-RT12-136
N2-RT12-137,SeuratProject,187799,10915,12,N2,3,thoracic 12,thoracic,NP3,N2-RT12-137
N2-RT12-138,SeuratProject,73713,7723,0,N2,3,thoracic 12,thoracic,Propr,N2-RT12-138
N2-RT12-139,SeuratProject,171466,10894,13,N2,3,thoracic 12,thoracic,Ad.LTMR,N2-RT12-139
N2-RT12-140,SeuratProject,264428,10608,0,N2,3,thoracic 12,thoracic,Propr,N2-RT12-140
N2-RT12-141,SeuratProject,63185,6479,7,N2,3,thoracic 12,thoracic,Ab.LTMR,N2-RT12-141
N2-RT12-142,SeuratProject,107586,8578,1,N2,3,thoracic 12,thoracic,NP1,N2-RT12-142
N2-RT12-143,SeuratProject,225551,8740,5,N2,3,thoracic 12,thoracic,Ab.LTMR,N2-RT12-143
N2-RT12-144,SeuratProject,118223,7026,6,N2,3,thoracic 12,thoracic,PEP.H5,N2-RT12-144
N2-RT12-145,SeuratProject,122221,8777,1,N2,3,thoracic 12,thoracic,NP1,N2-RT12-145
N2-RT12-146,SeuratProject,258330,10096,8,N2,3,thoracic 12,thoracic,PEP.H4,N2-RT12-146
N2-RT12-147,SeuratProject,120910,8325,4,N2,3,thoracic 12,thoracic,PEP.H8,N2-RT12-147
N2-RT12-148,SeuratProject,323464,11221,5,N2,3,thoracic 12,thoracic,Ab.LTMR,N2-RT12-148
N2-RT12-149,SeuratProject,1268322,14051,5,N2,3,thoracic 12,thoracic,Ab.LTMR,N2-RT12-149
N2-RT12-150,SeuratProject,152642,7474,7,N2,3,thoracic 12,thoracic,Ab.LTMR,N2-RT12-150
N2-RT12-151,SeuratProject,138681,7650,6,N2,3,thoracic 12,thoracic,PEP.H5,N2-RT12-151
N2-RT12-152,SeuratProject,149663,6269,11,N2,3,thoracic 12,thoracic,Ad.LTMR,N2-RT12-152
N2-RT12-153,SeuratProject,127288,8232,5,N2,3,thoracic 12,thoracic,Ab.LTMR,N2-RT12-153
N2-RT12-154,SeuratProject,374135,11328,5,N2,3,thoracic 12,thoracic,Ab.LTMR,N2-RT12-154
N2-RT12-155,SeuratProject,172009,8822,4,N2,3,thoracic 12,thoracic,PEP.H8,N2-RT12-155
N2-RT12-156,SeuratProject,66753,6674,4,N2,3,thoracic 12,thoracic,PEP.H8,N2-RT12-156
N2-RT12-158,SeuratProject,86868,7943,1,N2,3,thoracic 12,thoracic,NP1,N2-RT12-158
N2-RT12-159,SeuratProject,310380,11599,5,N2,3,thoracic 12,thoracic,Ab.LTMR,N2-RT12-159
N2-RT12-160,SeuratProject,221453,10745,6,N2,3,thoracic 12,thoracic,PEP.H5,N2-RT12-160
N2-RT12-161,SeuratProject,229738,10494,13,N2,3,thoracic 12,thoracic,Ad.LTMR,N2-RT12-161
N2-RT12-162,SeuratProject,165754,10295,6,N2,3,thoracic 12,thoracic,PEP.H5,N2-RT12-162
N2-RT12-163,SeuratProject,142792,8400,0,N2,3,thoracic 12,thoracic,Propr,N2-RT12-163
N2-RT12-164,SeuratProject,122193,9815,10,N2,3,thoracic 12,thoracic,NP1,N2-RT12-164
N2-RT12-165,SeuratProject,234125,8558,0,N2,3,thoracic 12,thoracic,Propr,N2-RT12-165
N2-RT12-166,SeuratProject,155326,6827,7,N2,3,thoracic 12,thoracic,Ab.LTMR,N2-RT12-166
N2-RT12-167,SeuratProject,105954,7002,7,N2,3,thoracic 12,thoracic,Ab.LTMR,N2-RT12-167
N2-RT12-168,SeuratProject,204607,9960,0,N2,3,thoracic 12,thoracic,Propr,N2-RT12-168
N2-RT12-169,SeuratProject,100038,9348,4,N2,3,thoracic 12,thoracic,PEP.H8,N2-RT12-169
N2-RT12-170,SeuratProject,175658,11071,15,N2,3,thoracic 12,thoracic,PEP.H4.15,N2-RT12-170
N2-RT12-171,SeuratProject,386504,12949,5,N2,3,thoracic 12,thoracic,Ab.LTMR,N2-RT12-171
N2-RT12-172,SeuratProject,279488,11372,5,N2,3,thoracic 12,thoracic,Ab.LTMR,N2-RT12-172
N2-RT12-173,SeuratProject,245274,11090,8,N2,3,thoracic 12,thoracic,PEP.H4,N2-RT12-173
N2-RT12-174,SeuratProject,221854,10537,16,N2,3,thoracic 12,thoracic,NP2,N2-RT12-174
N2-RT12-175,SeuratProject,161280,8567,0,N2,3,thoracic 12,thoracic,Propr,N2-RT12-175
N2-RT12-176,SeuratProject,297781,10865,5,N2,3,thoracic 12,thoracic,Ab.LTMR,N2-RT12-176
N2-RT12-177,SeuratProject,127786,9199,0,N2,3,thoracic 12,thoracic,Propr,N2-RT12-177
N2-RT12-178,SeuratProject,86223,7709,11,N2,3,thoracic 12,thoracic,Ad.LTMR,N2-RT12-178
N2-RT12-179,SeuratProject,116050,9389,16,N2,3,thoracic 12,thoracic,NP2,N2-RT12-179
N2-RT12-180,SeuratProject,123117,7541,0,N2,3,thoracic 12,thoracic,Propr,N2-RT12-180
N2-RT12-181,SeuratProject,155860,9411,0,N2,3,thoracic 12,thoracic,Un.Gi,N2-RT12-181
N2-RT12-182,SeuratProject,91049,7652,0,N2,3,thoracic 12,thoracic,Propr,N2-RT12-182
N2-RT12-183,SeuratProject,125246,8275,14,N2,3,thoracic 12,thoracic,PEP3,N2-RT12-183
N2-RT12-184,SeuratProject,107712,6322,12,N2,3,thoracic 12,thoracic,NP3,N2-RT12-184
N2-RT12-185,SeuratProject,98746,6606,9,N2,3,thoracic 12,thoracic,PEP1.13,N2-RT12-185
N2-RT12-186,SeuratProject,126120,7063,9,N2,3,thoracic 12,thoracic,PEP1.13,N2-RT12-186
N2-RT12-188,SeuratProject,174506,8571,1,N2,3,thoracic 12,thoracic,NP1,N2-RT12-188
N2-RT12-189,SeuratProject,243081,5394,12,N2,3,thoracic 12,thoracic,NP3,N2-RT12-189
N2-RT12-190,SeuratProject,164893,7009,12,N2,3,thoracic 12,thoracic,NP3,N2-RT12-190
N2-RT12-191,SeuratProject,168579,9589,1,N2,3,thoracic 12,thoracic,NP1,N2-RT12-191
N2-RT12-192,SeuratProject,206329,10627,7,N2,3,thoracic 12,thoracic,Ab.LTMR,N2-RT12-192
N3-RL2-1,SeuratProject,51533,6946,6,N3,1,lumbar 2,lumbar,PEP.H5,N3-RL2-1
N3-RL2-2,SeuratProject,132442,8861,4,N3,1,lumbar 2,lumbar,PEP.H8,N3-RL2-2
N3-RL2-3,SeuratProject,37384,5498,9,N3,1,lumbar 2,lumbar,PEP1.13,N3-RL2-3
N3-RL2-4,SeuratProject,64541,6260,2,N3,1,lumbar 2,lumbar,PEP.H0,N3-RL2-4
N3-RL2-5,SeuratProject,167742,8761,4,N3,1,lumbar 2,lumbar,PEP.H8,N3-RL2-5
N3-RL2-6,SeuratProject,114407,7532,2,N3,1,lumbar 2,lumbar,PEP.H0,N3-RL2-6
N3-RL2-7,SeuratProject,139175,8877,11,N3,1,lumbar 2,lumbar,Ad.LTMR,N3-RL2-7
N3-RL2-8,SeuratProject,220899,11412,4,N3,1,lumbar 2,lumbar,PEP.H8,N3-RL2-8
N3-RL2-9,SeuratProject,367254,12511,12,N3,1,lumbar 2,lumbar,NP3,N3-RL2-9
N3-RL2-10,SeuratProject,124530,8444,5,N3,1,lumbar 2,lumbar,Ab.LTMR,N3-RL2-10
N3-RL2-11,SeuratProject,143215,7495,2,N3,1,lumbar 2,lumbar,PEP.H0,N3-RL2-11
N3-RL2-12,SeuratProject,39190,6243,2,N3,1,lumbar 2,lumbar,PEP.H0,N3-RL2-12
N3-RL2-14,SeuratProject,148536,6986,2,N3,1,lumbar 2,lumbar,PEP.H0,N3-RL2-14
N3-RL2-15,SeuratProject,219644,7317,11,N3,1,lumbar 2,lumbar,Ad.LTMR,N3-RL2-15
N3-RL2-16,SeuratProject,218478,11590,10,N3,1,lumbar 2,lumbar,NP1,N3-RL2-16
N3-RL2-17,SeuratProject,101450,7015,4,N3,1,lumbar 2,lumbar,PEP.H8,N3-RL2-17
N3-RL2-18,SeuratProject,111356,7523,2,N3,1,lumbar 2,lumbar,PEP.H0,N3-RL2-18
N3-RL2-20,SeuratProject,183493,9066,4,N3,1,lumbar 2,lumbar,PEP.H8,N3-RL2-20
N3-RL2-21,SeuratProject,37300,4909,2,N3,1,lumbar 2,lumbar,PEP.H0,N3-RL2-21
N3-RL2-22,SeuratProject,240732,9014,13,N3,1,lumbar 2,lumbar,Ad.LTMR,N3-RL2-22
N3-RL2-23,SeuratProject,216251,8571,11,N3,1,lumbar 2,lumbar,Ad.LTMR,N3-RL2-23
N3-RL2-25,SeuratProject,238766,9031,2,N3,1,lumbar 2,lumbar,PEP.H0,N3-RL2-25
N3-RL2-28,SeuratProject,30275,5143,6,N3,1,lumbar 2,lumbar,PEP.H5,N3-RL2-28
N3-RL2-29,SeuratProject,37948,6334,16,N3,1,lumbar 2,lumbar,NP2,N3-RL2-29
N3-RL2-30,SeuratProject,311250,8830,4,N3,1,lumbar 2,lumbar,PEP.H8,N3-RL2-30
N3-RL2-31,SeuratProject,111822,8389,2,N3,1,lumbar 2,lumbar,PEP.H0,N3-RL2-31
N3-RL2-32,SeuratProject,59350,5831,1,N3,1,lumbar 2,lumbar,NP1,N3-RL2-32
N3-RL2-33,SeuratProject,45797,6888,7,N3,1,lumbar 2,lumbar,Ab.LTMR,N3-RL2-33
N3-RL2-34,SeuratProject,94551,7296,2,N3,1,lumbar 2,lumbar,PEP.H0,N3-RL2-34
N3-RL2-35,SeuratProject,221606,8982,6,N3,1,lumbar 2,lumbar,PEP.H5,N3-RL2-35
N3-RL2-36,SeuratProject,69608,7124,1,N3,1,lumbar 2,lumbar,NP1,N3-RL2-36
N3-RL2-37,SeuratProject,257734,6862,3,N3,1,lumbar 2,lumbar,PEP.H0,N3-RL2-37
N3-RL2-38,SeuratProject,199330,8042,9,N3,1,lumbar 2,lumbar,PEP1.13,N3-RL2-38
N3-RL2-39,SeuratProject,179445,8802,1,N3,1,lumbar 2,lumbar,NP1,N3-RL2-39
N3-RL2-40,SeuratProject,231616,10045,1,N3,1,lumbar 2,lumbar,NP1,N3-RL2-40
N3-RL2-41,SeuratProject,310907,8984,6,N3,1,lumbar 2,lumbar,PEP.H5,N3-RL2-41
N3-RL2-42,SeuratProject,127856,7851,1,N3,1,lumbar 2,lumbar,NP1,N3-RL2-42
N3-RL2-43,SeuratProject,404346,12101,5,N3,1,lumbar 2,lumbar,Ab.LTMR,N3-RL2-43
N3-RL2-44,SeuratProject,191921,9145,16,N3,1,lumbar 2,lumbar,NP2,N3-RL2-44
N3-RL2-45,SeuratProject,237445,8101,2,N3,1,lumbar 2,lumbar,PEP.H0,N3-RL2-45
N3-RL2-46,SeuratProject,330751,10260,7,N3,1,lumbar 2,lumbar,Ab.LTMR,N3-RL2-46
N3-RL2-47,SeuratProject,374018,9507,2,N3,1,lumbar 2,lumbar,PEP.H0,N3-RL2-47
N3-RL2-48,SeuratProject,227035,7410,6,N3,1,lumbar 2,lumbar,PEP.H5,N3-RL2-48
N3-RL2-49,SeuratProject,191067,8220,6,N3,1,lumbar 2,lumbar,PEP.H5,N3-RL2-49
N3-RL2-50,SeuratProject,464733,12438,13,N3,1,lumbar 2,lumbar,Ad.LTMR,N3-RL2-50
N3-RL2-51,SeuratProject,124796,6368,2,N3,1,lumbar 2,lumbar,PEP.H0,N3-RL2-51
N3-RL2-52,SeuratProject,206446,7534,4,N3,1,lumbar 2,lumbar,PEP.H8,N3-RL2-52
N3-RL2-53,SeuratProject,136181,8019,1,N3,1,lumbar 2,lumbar,NP1,N3-RL2-53
N3-RL2-56,SeuratProject,185455,7472,6,N3,1,lumbar 2,lumbar,PEP.H5,N3-RL2-56
N3-RL2-57,SeuratProject,91002,7782,6,N3,1,lumbar 2,lumbar,PEP.H5,N3-RL2-57
N3-RL2-58,SeuratProject,83728,7368,10,N3,1,lumbar 2,lumbar,NP1,N3-RL2-58
N3-RL2-59,SeuratProject,196822,8936,6,N3,1,lumbar 2,lumbar,PEP.H5,N3-RL2-59
N3-RL2-60,SeuratProject,203850,8583,1,N3,1,lumbar 2,lumbar,NP1,N3-RL2-60
N3-RL2-61,SeuratProject,257801,7534,2,N3,1,lumbar 2,lumbar,PEP.H0,N3-RL2-61
N3-RL2-62,SeuratProject,148543,8187,1,N3,1,lumbar 2,lumbar,NP1,N3-RL2-62
N3-RL2-63,SeuratProject,368000,10228,15,N3,1,lumbar 2,lumbar,PEP.H4.15,N3-RL2-63
N3-RL2-64,SeuratProject,648545,13448,8,N3,1,lumbar 2,lumbar,PEP.H4,N3-RL2-64
N3-RL2-65,SeuratProject,600704,12239,8,N3,1,lumbar 2,lumbar,PEP.H4,N3-RL2-65
N3-RL2-66,SeuratProject,306201,7985,2,N3,1,lumbar 2,lumbar,PEP.H0,N3-RL2-66
N3-RL2-67,SeuratProject,361025,13266,8,N3,1,lumbar 2,lumbar,PEP.H4,N3-RL2-67
N3-RL2-68,SeuratProject,593785,11957,0,N3,1,lumbar 2,lumbar,Propr,N3-RL2-68
N3-RL2-69,SeuratProject,566717,11255,6,N3,1,lumbar 2,lumbar,PEP.H5,N3-RL2-69
N3-RL2-70,SeuratProject,333336,9374,4,N3,1,lumbar 2,lumbar,PEP.H8,N3-RL2-70
N3-RL2-71,SeuratProject,215852,7902,11,N3,1,lumbar 2,lumbar,Ad.LTMR,N3-RL2-71
N3-RL2-72,SeuratProject,221963,9487,0,N3,1,lumbar 2,lumbar,Propr,N3-RL2-72
N3-RL2-74,SeuratProject,296814,11202,10,N3,1,lumbar 2,lumbar,NP1,N3-RL2-74
N3-RL2-75,SeuratProject,195721,8340,6,N3,1,lumbar 2,lumbar,PEP.H5,N3-RL2-75
N3-RL2-77,SeuratProject,238539,8508,11,N3,1,lumbar 2,lumbar,Ad.LTMR,N3-RL2-77
N3-RL2-78,SeuratProject,324466,12020,10,N3,1,lumbar 2,lumbar,NP1,N3-RL2-78
N3-RL2-79,SeuratProject,195556,11128,10,N3,1,lumbar 2,lumbar,NP1,N3-RL2-79
N3-RL2-82,SeuratProject,198909,7470,12,N3,1,lumbar 2,lumbar,NP3,N3-RL2-82
N3-RL2-83,SeuratProject,165366,7866,12,N3,1,lumbar 2,lumbar,NP3,N3-RL2-83
N3-RL2-84,SeuratProject,411456,11952,15,N3,1,lumbar 2,lumbar,PEP.H4.15,N3-RL2-84
N3-RL2-85,SeuratProject,309385,10601,10,N3,1,lumbar 2,lumbar,NP1,N3-RL2-85
N3-RL2-86,SeuratProject,151883,7404,4,N3,1,lumbar 2,lumbar,PEP.H8,N3-RL2-86
N3-RL2-87,SeuratProject,222967,8565,4,N3,1,lumbar 2,lumbar,PEP.H8,N3-RL2-87
N3-RL2-88,SeuratProject,551529,12750,13,N3,1,lumbar 2,lumbar,Ad.LTMR,N3-RL2-88
N3-RL2-90,SeuratProject,291225,11397,10,N3,1,lumbar 2,lumbar,NP1,N3-RL2-90
N3-RL2-91,SeuratProject,147735,7952,6,N3,1,lumbar 2,lumbar,PEP.H5,N3-RL2-91
N3-RL2-92,SeuratProject,105492,8306,4,N3,1,lumbar 2,lumbar,PEP.H8,N3-RL2-92
N3-RL2-93,SeuratProject,229195,10388,8,N3,2,lumbar 2,lumbar,PEP.H4,N3-RL2-93
N3-RL2-94,SeuratProject,127607,5993,9,N3,2,lumbar 2,lumbar,PEP1.13,N3-RL2-94
N3-RL2-95,SeuratProject,160992,6861,6,N3,2,lumbar 2,lumbar,PEP.H5,N3-RL2-95
N3-RL2-96,SeuratProject,140430,6955,14,N3,2,lumbar 2,lumbar,PEP3,N3-RL2-96
N3-RL2-97,SeuratProject,98542,7421,1,N3,2,lumbar 2,lumbar,NP1,N3-RL2-97
N3-RL2-98,SeuratProject,116439,4798,0,N3,2,lumbar 2,lumbar,Propr,N3-RL2-98
N3-RL2-99,SeuratProject,140921,7516,6,N3,2,lumbar 2,lumbar,PEP.H5,N3-RL2-99
N3-RL2-100,SeuratProject,93246,6226,2,N3,2,lumbar 2,lumbar,PEP.H0,N3-RL2-100
N3-RL2-101,SeuratProject,168669,9011,0,N3,2,lumbar 2,lumbar,Propr,N3-RL2-101
N3-RL2-102,SeuratProject,250847,10646,8,N3,2,lumbar 2,lumbar,PEP.H4,N3-RL2-102
N3-RL2-103,SeuratProject,247820,11897,8,N3,2,lumbar 2,lumbar,PEP.H4,N3-RL2-103
N3-RL2-105,SeuratProject,124775,5431,6,N3,2,lumbar 2,lumbar,PEP.H5,N3-RL2-105
N3-RL2-107,SeuratProject,76894,2692,3,N3,2,lumbar 2,lumbar,PEP.H0,N3-RL2-107
N3-RL2-108,SeuratProject,102953,4216,5,N3,2,lumbar 2,lumbar,Ab.LTMR,N3-RL2-108
N3-RL2-109,SeuratProject,134925,7197,14,N3,2,lumbar 2,lumbar,PEP3,N3-RL2-109
N3-RL2-110,SeuratProject,136633,2832,3,N3,2,lumbar 2,lumbar,PEP.H0,N3-RL2-110
N3-RL2-111,SeuratProject,204368,8540,16,N3,2,lumbar 2,lumbar,NP2,N3-RL2-111
N3-RL2-113,SeuratProject,193907,4269,6,N3,2,lumbar 2,lumbar,PEP.H5,N3-RL2-113
N3-RL2-114,SeuratProject,172319,8206,1,N3,2,lumbar 2,lumbar,NP1,N3-RL2-114
N3-RL2-115,SeuratProject,141754,6732,4,N3,2,lumbar 2,lumbar,PEP.H8,N3-RL2-115
N3-RL2-117,SeuratProject,186829,9994,18,N3,2,lumbar 2,lumbar,Un.Gi,N3-RL2-117
N3-RL2-118,SeuratProject,94487,4460,2,N3,2,lumbar 2,lumbar,PEP.H0,N3-RL2-118
N3-RL2-119,SeuratProject,109309,6040,14,N3,2,lumbar 2,lumbar,PEP3,N3-RL2-119
N3-RL2-120,SeuratProject,83634,5600,6,N3,2,lumbar 2,lumbar,PEP.H5,N3-RL2-120
N3-RL2-121,SeuratProject,394773,11426,4,N3,2,lumbar 2,lumbar,PEP.H8,N3-RL2-121
N3-RL2-123,SeuratProject,146102,7035,6,N3,2,lumbar 2,lumbar,PEP.H5,N3-RL2-123
N3-RL2-124,SeuratProject,138628,5033,0,N3,2,lumbar 2,lumbar,Propr,N3-RL2-124
N3-RL2-125,SeuratProject,139341,5079,2,N3,3,lumbar 2,lumbar,PEP.H0,N3-RL2-125
N3-RL2-126,SeuratProject,51699,5929,5,N3,3,lumbar 2,lumbar,Ab.LTMR,N3-RL2-126
N3-RL2-127,SeuratProject,156981,8637,1,N3,3,lumbar 2,lumbar,NP1,N3-RL2-127
N3-RL2-128,SeuratProject,192879,8051,10,N3,3,lumbar 2,lumbar,NP1,N3-RL2-128
N3-RL2-129,SeuratProject,158912,5961,2,N3,3,lumbar 2,lumbar,PEP.H0,N3-RL2-129
N3-RL2-130,SeuratProject,175350,6244,2,N3,3,lumbar 2,lumbar,PEP.H0,N3-RL2-130
N3-RL2-131,SeuratProject,190574,7552,2,N3,3,lumbar 2,lumbar,PEP.H0,N3-RL2-131
N3-RL2-132,SeuratProject,150356,7810,6,N3,3,lumbar 2,lumbar,PEP.H5,N3-RL2-132
N3-RL2-133,SeuratProject,380251,11719,6,N3,3,lumbar 2,lumbar,PEP.H5,N3-RL2-133
N3-RL2-134,SeuratProject,213824,6767,7,N3,3,lumbar 2,lumbar,Ab.LTMR,N3-RL2-134
N3-RL2-135,SeuratProject,163324,5890,2,N3,3,lumbar 2,lumbar,PEP.H0,N3-RL2-135
N3-RL2-136,SeuratProject,255090,8585,10,N3,3,lumbar 2,lumbar,NP1,N3-RL2-136
N3-RL2-137,SeuratProject,352651,10915,1,N3,3,lumbar 2,lumbar,NP1,N3-RL2-137
N3-RL2-138,SeuratProject,91038,5888,2,N3,3,lumbar 2,lumbar,PEP.H0,N3-RL2-138
N3-RL2-139,SeuratProject,282848,9770,8,N3,3,lumbar 2,lumbar,PEP.H4,N3-RL2-139
N3-RL2-140,SeuratProject,200063,8627,0,N3,3,lumbar 2,lumbar,Propr,N3-RL2-140
N3-RL2-142,SeuratProject,86294,6347,9,N3,3,lumbar 2,lumbar,PEP1.13,N3-RL2-142
N3-RL2-143,SeuratProject,193600,4331,2,N3,3,lumbar 2,lumbar,PEP.H0,N3-RL2-143
N3-RL2-144,SeuratProject,240220,9150,0,N3,3,lumbar 2,lumbar,Propr,N3-RL2-144
N3-RL2-145,SeuratProject,133486,10175,1,N3,3,lumbar 2,lumbar,NP1,N3-RL2-145
N3-RL2-146,SeuratProject,142003,5913,9,N3,3,lumbar 2,lumbar,PEP1.13,N3-RL2-146
N3-RL2-147,SeuratProject,91912,4248,2,N3,3,lumbar 2,lumbar,PEP.H0,N3-RL2-147
N3-RL2-148,SeuratProject,146067,7421,13,N3,3,lumbar 2,lumbar,Ad.LTMR,N3-RL2-148
N3-RL2-149,SeuratProject,75660,2624,3,N3,3,lumbar 2,lumbar,PEP.H0,N3-RL2-149
N3-RL2-150,SeuratProject,152338,7867,12,N3,3,lumbar 2,lumbar,NP3,N3-RL2-150
N3-RL2-151,SeuratProject,173245,6708,12,N3,3,lumbar 2,lumbar,NP3,N3-RL2-151
N3-RL2-152,SeuratProject,152435,7721,2,N3,3,lumbar 2,lumbar,PEP.H0,N3-RL2-152
N3-RL2-153,SeuratProject,214099,8685,7,N3,3,lumbar 2,lumbar,Ab.LTMR,N3-RL2-153
N3-RL2-154,SeuratProject,353708,11184,10,N3,3,lumbar 2,lumbar,NP1,N3-RL2-154
