,orig.ident,nCount_RNA,nFeature_RNA,seurat_clusters,donor,batch,location,level,cl.conserv_final,sample_id
N2-RL5-64,SeuratProject,183347,7387,2,N2,1,lumbar 5,lumbar,PEP.H0,N2-RL5-64
N2-RL5-65,SeuratProject,49753,5349,3,N2,1,lumbar 5,lumbar,PEP.H0,N2-RL5-65
N2-RL5-66,SeuratProject,43507,5735,4,N2,1,lumbar 5,lumbar,PEP.H8,N2-RL5-66
N2-RL5-67,SeuratProject,114032,7812,0,N2,1,lumbar 5,lumbar,Un.Gi,N2-RL5-67
N2-RL5-68,SeuratProject,114459,7217,0,N2,1,lumbar 5,lumbar,Un.Gi,N2-RL5-68
N2-RL5-69,SeuratProject,151278,7801,2,N2,1,lumbar 5,lumbar,PEP.H0,N2-RL5-69
N2-RL5-70,SeuratProject,493260,11387,15,N2,1,lumbar 5,lumbar,PEP.H4.15,N2-RL5-70
N2-RL5-71,SeuratProject,91940,6603,7,N2,1,lumbar 5,lumbar,Ab.LTMR,N2-RL5-71
N2-RL5-73,SeuratProject,152849,7919,2,N2,1,lumbar 5,lumbar,PEP.H0,N2-RL5-73
N2-RL5-74,SeuratProject,69106,6012,2,N2,1,lumbar 5,lumbar,PEP.H0,N2-RL5-74
N2-RL5-75,SeuratProject,110172,7653,2,N2,1,lumbar 5,lumbar,PEP.H0,N2-RL5-75
N2-RL5-76,SeuratProject,162265,7255,0,N2,1,lumbar 5,lumbar,Propr,N2-RL5-76
N2-RL5-77,SeuratProject,100434,6423,4,N2,1,lumbar 5,lumbar,PEP.H8,N2-RL5-77
N2-RL5-78,SeuratProject,236591,10358,8,N2,1,lumbar 5,lumbar,PEP.H4,N2-RL5-78
N2-RL5-79,SeuratProject,580356,11986,12,N2,1,lumbar 5,lumbar,NP3,N2-RL5-79
N2-RL5-80,SeuratProject,214823,9127,0,N2,1,lumbar 5,lumbar,Propr,N2-RL5-80
N2-RL5-81,SeuratProject,502863,11945,0,N2,1,lumbar 5,lumbar,Propr,N2-RL5-81
N2-RL5-82,SeuratProject,159116,6417,0,N2,1,lumbar 5,lumbar,Propr,N2-RL5-82
N2-RL5-83,SeuratProject,294264,11555,0,N2,1,lumbar 5,lumbar,Propr,N2-RL5-83
N2-RL5-84,SeuratProject,683230,13537,5,N2,1,lumbar 5,lumbar,Ab.LTMR,N2-RL5-84
N2-RL5-85,SeuratProject,603529,12291,6,N2,1,lumbar 5,lumbar,PEP.H5,N2-RL5-85
N2-RL5-86,SeuratProject,138248,6149,6,N2,1,lumbar 5,lumbar,PEP.H5,N2-RL5-86
N2-RL5-87,SeuratProject,309224,11595,15,N2,1,lumbar 5,lumbar,PEP.H4.15,N2-RL5-87
N2-RL5-88,SeuratProject,369745,11479,8,N2,1,lumbar 5,lumbar,PEP.H4,N2-RL5-88
N2-RL5-89,SeuratProject,192728,7677,9,N2,1,lumbar 5,lumbar,PEP1.13,N2-RL5-89
N2-RL5-90,SeuratProject,378468,11670,10,N2,1,lumbar 5,lumbar,NP1,N2-RL5-90
N2-RL5-91,SeuratProject,259035,10952,5,N2,1,lumbar 5,lumbar,Ab.LTMR,N2-RL5-91
N2-RL5-92,SeuratProject,69399,6787,2,N2,1,lumbar 5,lumbar,Un.Gi,N2-RL5-92
N2-RL5-93,SeuratProject,111610,8048,14,N2,1,lumbar 5,lumbar,PEP3,N2-RL5-93
N2-RL5-94,SeuratProject,502492,12400,0,N2,1,lumbar 5,lumbar,Propr,N2-RL5-94
N2-RL5-95,SeuratProject,293238,11780,4,N2,1,lumbar 5,lumbar,PEP.H8,N2-RL5-95
N2-RL5-96,SeuratProject,165210,8769,0,N2,1,lumbar 5,lumbar,Propr,N2-RL5-96
N2-RL5-97,SeuratProject,353236,12448,4,N2,2,lumbar 5,lumbar,PEP.H8,N2-RL5-97
N2-RL5-98,SeuratProject,393643,10405,5,N2,2,lumbar 5,lumbar,Un.Gi,N2-RL5-98
N2-RL5-99,SeuratProject,131758,7032,0,N2,2,lumbar 5,lumbar,Propr,N2-RL5-99
N2-RL5-100,SeuratProject,239196,10047,0,N2,2,lumbar 5,lumbar,Propr,N2-RL5-100
N2-RL5-101,SeuratProject,326941,11406,8,N2,2,lumbar 5,lumbar,PEP.H4,N2-RL5-101
N2-RL5-102,SeuratProject,123711,7996,0,N2,2,lumbar 5,lumbar,Propr,N2-RL5-102
N2-RL5-103,SeuratProject,118132,7392,0,N2,2,lumbar 5,lumbar,Propr,N2-RL5-103
N2-RL5-104,SeuratProject,150471,7424,10,N2,2,lumbar 5,lumbar,NP1,N2-RL5-104
N2-RL5-105,SeuratProject,338598,10871,18,N2,2,lumbar 5,lumbar,Un.Gi,N2-RL5-105
N2-RL5-106,SeuratProject,173618,8129,4,N2,2,lumbar 5,lumbar,PEP.H8,N2-RL5-106
N2-RL5-107,SeuratProject,263335,7302,11,N2,2,lumbar 5,lumbar,Ad.LTMR,N2-RL5-107
N2-RL5-108,SeuratProject,108067,5976,3,N2,2,lumbar 5,lumbar,Un.Gi,N2-RL5-108
N2-RL5-109,SeuratProject,187194,7697,0,N2,2,lumbar 5,lumbar,Propr,N2-RL5-109
N2-RL5-110,SeuratProject,231159,9946,5,N2,2,lumbar 5,lumbar,Ab.LTMR,N2-RL5-110
N2-RL5-112,SeuratProject,200450,7484,12,N2,2,lumbar 5,lumbar,NP3,N2-RL5-112
N2-RL5-113,SeuratProject,143361,7865,1,N2,2,lumbar 5,lumbar,NP1,N2-RL5-113
N2-RL5-114,SeuratProject,363132,11865,0,N2,2,lumbar 5,lumbar,Propr,N2-RL5-114
N2-RL5-115,SeuratProject,150356,8320,5,N2,2,lumbar 5,lumbar,Ab.LTMR,N2-RL5-115
N2-RL5-116,SeuratProject,177922,7414,0,N2,2,lumbar 5,lumbar,Propr,N2-RL5-116
N2-RL5-118,SeuratProject,139074,8198,0,N2,2,lumbar 5,lumbar,Propr,N2-RL5-118
N2-RL5-120,SeuratProject,152989,7958,1,N2,2,lumbar 5,lumbar,NP1,N2-RL5-120
N2-RL5-121,SeuratProject,117544,8232,1,N2,2,lumbar 5,lumbar,NP1,N2-RL5-121
